uni570E	U+570E	圎
uni5783	U+5783	垃
uni5784	U+5784	垄
uni5785	U+5785	垅
uni5786	U+5786	垆
uni5787	U+5787	垇
uni5788	U+5788	垈
uni5789	U+5789	垉
uni578A	U+578A	垊
uni578B	U+578B	型
uni578C	U+578C	垌
uni578D	U+578D	垍
uni578E	U+578E	垎
uni578F	U+578F	垏
uni5790	U+5790	垐
uni5791	U+5791	垑
uni5792	U+5792	垒
uni5793	U+5793	垓
uni5794	U+5794	垔
uni5795	U+5795	垕
uni5796	U+5796	垖
uni5797	U+5797	垗
uni5798	U+5798	垘
uni5799	U+5799	垙
uni579A	U+579A	垚
uni579B	U+579B	垛
uni579C	U+579C	垜
uni579D	U+579D	垝
uni579E	U+579E	垞
uni579F	U+579F	垟
uni57A0	U+57A0	垠
uni57A1	U+57A1	垡
uni57A2	U+57A2	垢
uni57A3	U+57A3	垣
uni57A4	U+57A4	垤
uni57A5	U+57A5	垥
uni57A6	U+57A6	垦
uni57A7	U+57A7	垧
uni57A8	U+57A8	垨
uni57A9	U+57A9	垩
uni57AA	U+57AA	垪
uni57AB	U+57AB	垫
uni57AC	U+57AC	垬
uni57AD	U+57AD	垭
uni57AE	U+57AE	垮
uni57AF	U+57AF	垯
uni57B0	U+57B0	垰
uni57B1	U+57B1	垱
uni57B2	U+57B2	垲
uni57B3	U+57B3	垳
uni57B4	U+57B4	垴
uni57B5	U+57B5	垵
uni57B6	U+57B6	垶
uni57B7	U+57B7	垷
uni57B8	U+57B8	垸
uni57B9	U+57B9	垹
uni57BA	U+57BA	垺
uni57BB	U+57BB	垻
uni57BC	U+57BC	垼
uni57BD	U+57BD	垽
uni57BE	U+57BE	垾
uni57BF	U+57BF	垿
uni57C0	U+57C0	埀
uni57C1	U+57C1	埁
uni57C2	U+57C2	埂
uni57C3	U+57C3	埃
uni57C4	U+57C4	埄
uni57C5	U+57C5	埅
uni57C6	U+57C6	埆
uni57C7	U+57C7	埇
uni57C8	U+57C8	埈
uni57C9	U+57C9	埉
uni57CA	U+57CA	埊
uni57CB	U+57CB	埋
uni57CC	U+57CC	埌
uni57CD	U+57CD	埍
uni57CE	U+57CE	城
uni57CF	U+57CF	埏
uni57D0	U+57D0	埐
uni57D1	U+57D1	埑
uni57D2	U+57D2	埒
uni57D3	U+57D3	埓
uni57D4	U+57D4	埔
uni57D5	U+57D5	埕
uni57D6	U+57D6	埖
uni57D7	U+57D7	埗
uni57D8	U+57D8	埘
uni57D9	U+57D9	埙
uni57DA	U+57DA	埚
uni57DB	U+57DB	埛
uni57DC	U+57DC	埜
uni57DD	U+57DD	埝
uni57DE	U+57DE	埞
uni57DF	U+57DF	域
uni57E0	U+57E0	埠
uni57E1	U+57E1	埡
uni57E2	U+57E2	埢
uni57E3	U+57E3	埣
uni57E4	U+57E4	埤
uni57E5	U+57E5	埥
uni57E6	U+57E6	埦
uni57E7	U+57E7	埧
uni57E8	U+57E8	埨
uni57E9	U+57E9	埩
uni57EA	U+57EA	埪
uni57EB	U+57EB	埫
uni57EC	U+57EC	埬
uni57ED	U+57ED	埭
uni57EE	U+57EE	埮
uni57EF	U+57EF	埯
uni57F0	U+57F0	埰
uni57F1	U+57F1	埱
uni57F2	U+57F2	埲
uni57F3	U+57F3	埳
uni57F4	U+57F4	埴
uni57F5	U+57F5	埵
uni57F6	U+57F6	埶
uni57F7	U+57F7	執
uni57F8	U+57F8	埸
uni57F9	U+57F9	培
uni57FA	U+57FA	基
uni57FB	U+57FB	埻
uni57FC	U+57FC	埼
uni57FD	U+57FD	埽
uni57FE	U+57FE	埾
uni57FF	U+57FF	埿
uni5800	U+5800	堀
uni5801	U+5801	堁
uni5802	U+5802	堂
uni5803	U+5803	堃
uni5804	U+5804	堄
uni5805	U+5805	堅
uni5806	U+5806	堆
uni5807	U+5807	堇
uni5808	U+5808	堈
uni5809	U+5809	堉
uni580A	U+580A	堊
uni580B	U+580B	堋
uni580C	U+580C	堌
uni580D	U+580D	堍
uni580E	U+580E	堎
uni580F	U+580F	堏
uni5810	U+5810	堐
uni5811	U+5811	堑
uni5812	U+5812	堒
uni5813	U+5813	堓
uni5814	U+5814	堔
uni5815	U+5815	堕
uni5816	U+5816	堖
uni5817	U+5817	堗
uni5818	U+5818	堘
uni5819	U+5819	堙
uni581A	U+581A	堚
uni581B	U+581B	堛
uni581C	U+581C	堜
uni581D	U+581D	堝
uni581E	U+581E	堞
uni581F	U+581F	堟
uni5820	U+5820	堠
uni5821	U+5821	堡
uni5822	U+5822	堢
uni5823	U+5823	堣
uni5824	U+5824	堤
uni5825	U+5825	堥
uni5826	U+5826	堦
uni5827	U+5827	堧
uni5828	U+5828	堨
uni5829	U+5829	堩
uni582A	U+582A	堪
uni582B	U+582B	堫
uni582C	U+582C	堬
uni582D	U+582D	堭
uni582E	U+582E	堮
uni582F	U+582F	堯
uni5830	U+5830	堰
uni5831	U+5831	報
uni5832	U+5832	堲
uni5833	U+5833	堳
uni5834	U+5834	場
uni5835	U+5835	堵
uni5836	U+5836	堶
uni5837	U+5837	堷
uni5838	U+5838	堸
uni5839	U+5839	堹
uni583A	U+583A	堺
uni583B	U+583B	堻
uni583C	U+583C	堼
uni583D	U+583D	堽
uni583E	U+583E	堾
uni583F	U+583F	堿
uni5840	U+5840	塀
uni5841	U+5841	塁
uni5842	U+5842	塂
uni5843	U+5843	塃
uni5844	U+5844	塄
uni5845	U+5845	塅
uni5846	U+5846	塆
uni5847	U+5847	塇
uni5848	U+5848	塈
uni5849	U+5849	塉
uni584A	U+584A	塊
uni584B	U+584B	塋
uni584C	U+584C	塌
uni584D	U+584D	塍
uni584E	U+584E	塎
uni584F	U+584F	塏
uni5850	U+5850	塐
uni5851	U+5851	塑
uni5852	U+5852	塒
uni5853	U+5853	塓
uni5854	U+5854	塔
uni5855	U+5855	塕
uni5856	U+5856	塖
uni5857	U+5857	塗
uni5858	U+5858	塘
uni5859	U+5859	塙
uni585A	U+585A	塚
uni585B	U+585B	塛
uni585C	U+585C	塜
uni585D	U+585D	塝
uni585E	U+585E	塞
uni585F	U+585F	塟
uni5860	U+5860	塠
uni5861	U+5861	塡
uni5862	U+5862	塢
uni5863	U+5863	塣
uni5864	U+5864	塤
uni5865	U+5865	塥
uni5866	U+5866	塦
uni5867	U+5867	塧
uni5868	U+5868	塨
uni5869	U+5869	塩
uni586A	U+586A	塪
uni586B	U+586B	填
uni586C	U+586C	塬
uni586D	U+586D	塭
uni586E	U+586E	塮
uni586F	U+586F	塯
uni5870	U+5870	塰
uni5871	U+5871	塱
uni5872	U+5872	塲
uni5873	U+5873	塳
uni5874	U+5874	塴
uni5875	U+5875	塵
uni5876	U+5876	塶
uni5877	U+5877	塷
uni5878	U+5878	塸
uni5879	U+5879	塹
uni587A	U+587A	塺
uni587B	U+587B	塻
uni587C	U+587C	塼
uni587D	U+587D	塽
uni587E	U+587E	塾
uni587F	U+587F	塿
uni5880	U+5880	墀
uni5881	U+5881	墁
uni5882	U+5882	墂
uni5883	U+5883	境
uni5884	U+5884	墄
uni5885	U+5885	墅
uni5886	U+5886	墆
uni5887	U+5887	墇
uni5888	U+5888	墈
uni5889	U+5889	墉
uni588A	U+588A	墊
uni588B	U+588B	墋
uni588C	U+588C	墌
uni588D	U+588D	墍
uni588E	U+588E	墎
uni588F	U+588F	墏
uni5890	U+5890	墐
uni5891	U+5891	墑
uni5892	U+5892	墒
uni5893	U+5893	墓
uni5894	U+5894	墔
uni5895	U+5895	墕
uni5896	U+5896	墖
uni5897	U+5897	増
uni5898	U+5898	墘
uni5899	U+5899	墙
uni589A	U+589A	墚
uni589B	U+589B	墛
uni589C	U+589C	墜
uni589D	U+589D	墝
uni589E	U+589E	增
uni589F	U+589F	墟
uni58A0	U+58A0	墠
uni58A1	U+58A1	墡
uni58A2	U+58A2	墢
uni58A3	U+58A3	墣
uni58A4	U+58A4	墤
uni58A5	U+58A5	墥
uni58A6	U+58A6	墦
uni58A7	U+58A7	墧
uni58A8	U+58A8	墨
uni58A9	U+58A9	墩
uni58AA	U+58AA	墪
uni58AB	U+58AB	墫
uni58AC	U+58AC	墬
uni58AD	U+58AD	墭
uni58AE	U+58AE	墮
uni58AF	U+58AF	墯
uni58B0	U+58B0	墰
uni58B1	U+58B1	墱
uni58B2	U+58B2	墲
uni58B3	U+58B3	墳
uni58B4	U+58B4	墴
uni58B5	U+58B5	墵
uni58B6	U+58B6	墶
uni58B7	U+58B7	墷
uni58B8	U+58B8	墸
uni58B9	U+58B9	墹
uni58BA	U+58BA	墺
uni58BB	U+58BB	墻
uni58BC	U+58BC	墼
uni58BD	U+58BD	墽
uni58BE	U+58BE	墾
uni58BF	U+58BF	墿
uni58C0	U+58C0	壀
uni58C1	U+58C1	壁
uni58C2	U+58C2	壂
uni58C3	U+58C3	壃
uni58C4	U+58C4	壄
uni58C5	U+58C5	壅
uni58C6	U+58C6	壆
uni58C7	U+58C7	壇
uni58C8	U+58C8	壈
uni58C9	U+58C9	壉
uni58CA	U+58CA	壊
uni58CB	U+58CB	壋
uni58CC	U+58CC	壌
uni58CD	U+58CD	壍
uni58CE	U+58CE	壎
uni58CF	U+58CF	壏
uni58D0	U+58D0	壐
uni58D1	U+58D1	壑
uni58D2	U+58D2	壒
uni58D3	U+58D3	壓
uni58D4	U+58D4	壔
uni58D5	U+58D5	壕
uni58D6	U+58D6	壖
uni58D7	U+58D7	壗
uni58D8	U+58D8	壘
uni58D9	U+58D9	壙
uni58DA	U+58DA	壚
uni58DB	U+58DB	壛
uni58DC	U+58DC	壜
uni58DD	U+58DD	壝
uni58DE	U+58DE	壞
uni58DF	U+58DF	壟
uni58E0	U+58E0	壠
uni58E1	U+58E1	壡
uni58E2	U+58E2	壢
uni58E3	U+58E3	壣
uni58E4	U+58E4	壤
uni58E5	U+58E5	壥
uni58E6	U+58E6	壦
uni58E7	U+58E7	壧
uni58E8	U+58E8	壨
uni58E9	U+58E9	壩
uni58EA	U+58EA	壪
uni58EC	U+58EC	壬
uni58ED	U+58ED	壭
uni58EE	U+58EE	壮
uni58EF	U+58EF	壯
uni58F0	U+58F0	声
uni58F1	U+58F1	壱
uni58F2	U+58F2	売
uni58F3	U+58F3	壳
uni58F4	U+58F4	壴
uni58F5	U+58F5	壵
uni58F6	U+58F6	壶
uni58F7	U+58F7	壷
uni58F8	U+58F8	壸
uni58F9	U+58F9	壹
uni58FA	U+58FA	壺
uni58FB	U+58FB	壻
uni58FC	U+58FC	壼
uni58FD	U+58FD	壽
uni58FE	U+58FE	壾
uni5900	U+5900	夀
uni5901	U+5901	夁
uni5903	U+5903	夃
uni5904	U+5904	处
uni5905	U+5905	夅
uni5906	U+5906	夆
uni5907	U+5907	备
uni5908	U+5908	夈
uni5909	U+5909	変
uni590B	U+590B	夋
uni590C	U+590C	夌
uni590D	U+590D	复
uni590E	U+590E	夎
uni590F	U+590F	夏
uni5910	U+5910	夐
uni5911	U+5911	夑
uni5912	U+5912	夒
uni5913	U+5913	夓
uni5914	U+5914	夔
uni5916	U+5916	外
uni5917	U+5917	夗
uni5918	U+5918	夘
uni5919	U+5919	夙
uni591A	U+591A	多
uni591B	U+591B	夛
uni591C	U+591C	夜
uni591D	U+591D	夝
uni591E	U+591E	夞
uni591F	U+591F	够
uni5920	U+5920	夠
uni5921	U+5921	夡
uni5922	U+5922	夢
uni5923	U+5923	夣
uni5924	U+5924	夤
uni5925	U+5925	夥
uni5926	U+5926	夦
uni5928	U+5928	夨
uni5929	U+5929	天
uni592A	U+592A	太
uni592B	U+592B	夫
uni592C	U+592C	夬
uni592D	U+592D	夭
uni592E	U+592E	央
uni592F	U+592F	夯
uni5930	U+5930	夰
uni5931	U+5931	失
uni5932	U+5932	夲
uni5933	U+5933	夳
uni5934	U+5934	头
uni5935	U+5935	夵
uni5936	U+5936	夶
uni5937	U+5937	夷
uni5938	U+5938	夸
uni5939	U+5939	夹
uni593A	U+593A	夺
uni593B	U+593B	夻
uni593C	U+593C	夼
uni593D	U+593D	夽
uni593E	U+593E	夾
uni593F	U+593F	夿
uni5940	U+5940	奀
uni5941	U+5941	奁
uni5942	U+5942	奂
uni5943	U+5943	奃
uni5944	U+5944	奄
uni5945	U+5945	奅
uni5946	U+5946	奆
uni5947	U+5947	奇
uni5948	U+5948	奈
uni5949	U+5949	奉
uni594A	U+594A	奊
uni594B	U+594B	奋
uni594C	U+594C	奌
uni594D	U+594D	奍
uni594E	U+594E	奎
uni594F	U+594F	奏
uni5950	U+5950	奐
uni5951	U+5951	契
uni5952	U+5952	奒
uni5953	U+5953	奓
uni5954	U+5954	奔
uni5955	U+5955	奕
uni5956	U+5956	奖
uni5957	U+5957	套
uni5958	U+5958	奘
uni5959	U+5959	奙
uni595A	U+595A	奚
uni595B	U+595B	奛
uni595C	U+595C	奜
uni595D	U+595D	奝
uni595E	U+595E	奞
uni595F	U+595F	奟
uni5960	U+5960	奠
uni5961	U+5961	奡
uni5962	U+5962	奢
uni5963	U+5963	奣
uni5964	U+5964	奤
uni5965	U+5965	奥
uni5966	U+5966	奦
uni5967	U+5967	奧
uni5968	U+5968	奨
uni5969	U+5969	奩
uni596A	U+596A	奪
uni596B	U+596B	奫
uni596C	U+596C	奬
uni596D	U+596D	奭
uni596E	U+596E	奮
uni596F	U+596F	奯
uni5970	U+5970	奰
uni5971	U+5971	奱
uni5972	U+5972	奲
uni5974	U+5974	奴
uni5975	U+5975	奵
uni5976	U+5976	奶
uni5977	U+5977	奷
uni5978	U+5978	奸
uni5979	U+5979	她
uni597A	U+597A	奺
uni597B	U+597B	奻
uni597C	U+597C	奼
uni597D	U+597D	好
uni597E	U+597E	奾
uni597F	U+597F	奿
uni5980	U+5980	妀
uni5981	U+5981	妁
uni5982	U+5982	如
uni5983	U+5983	妃
uni5984	U+5984	妄
uni5985	U+5985	妅
uni5986	U+5986	妆
uni5987	U+5987	妇
uni5988	U+5988	妈
uni5989	U+5989	妉
uni598A	U+598A	妊
uni598B	U+598B	妋
uni598C	U+598C	妌
uni598D	U+598D	妍
uni598E	U+598E	妎
uni598F	U+598F	妏
uni5990	U+5990	妐
uni5991	U+5991	妑
uni5992	U+5992	妒
uni5993	U+5993	妓
uni5994	U+5994	妔
uni5995	U+5995	妕
uni5996	U+5996	妖
uni5997	U+5997	妗
uni5998	U+5998	妘
uni5999	U+5999	妙
uni599A	U+599A	妚
uni599B	U+599B	妛
uni599C	U+599C	妜
uni599D	U+599D	妝
uni599E	U+599E	妞
uni599F	U+599F	妟
uni59A0	U+59A0	妠
uni59A1	U+59A1	妡
uni59A2	U+59A2	妢
uni59A3	U+59A3	妣
uni59A4	U+59A4	妤
uni59A5	U+59A5	妥
uni59A6	U+59A6	妦
uni59A7	U+59A7	妧
uni59A8	U+59A8	妨
uni59A9	U+59A9	妩
uni59AA	U+59AA	妪
uni59AB	U+59AB	妫
uni59AC	U+59AC	妬
uni59AD	U+59AD	妭
uni59AE	U+59AE	妮
uni59AF	U+59AF	妯
uni59B0	U+59B0	妰
uni59B1	U+59B1	妱
uni59B2	U+59B2	妲
uni59B3	U+59B3	妳
uni59B4	U+59B4	妴
uni59B5	U+59B5	妵
uni59B6	U+59B6	妶
uni59B7	U+59B7	妷
uni59B8	U+59B8	妸
uni59B9	U+59B9	妹
uni59BA	U+59BA	妺
uni59BB	U+59BB	妻
uni59BC	U+59BC	妼
uni59BD	U+59BD	妽
uni59BE	U+59BE	妾
uni59BF	U+59BF	妿
uni59C0	U+59C0	姀
uni59C1	U+59C1	姁
uni59C2	U+59C2	姂
uni59C3	U+59C3	姃
uni59C4	U+59C4	姄
uni59C5	U+59C5	姅
uni59C6	U+59C6	姆
uni59C7	U+59C7	姇
uni59C8	U+59C8	姈
uni59C9	U+59C9	姉
uni59CA	U+59CA	姊
uni59CB	U+59CB	始
uni59CC	U+59CC	姌
uni59CD	U+59CD	姍
uni59CE	U+59CE	姎
uni59CF	U+59CF	姏
uni59D0	U+59D0	姐
uni59D1	U+59D1	姑
uni59D2	U+59D2	姒
uni59D3	U+59D3	姓
uni59D4	U+59D4	委
uni59D5	U+59D5	姕
uni59D6	U+59D6	姖
uni59D7	U+59D7	姗
uni59D8	U+59D8	姘
uni59D9	U+59D9	姙
uni59DA	U+59DA	姚
uni59DB	U+59DB	姛
uni59DC	U+59DC	姜
uni59DD	U+59DD	姝
uni59DE	U+59DE	姞
uni59DF	U+59DF	姟
uni59E0	U+59E0	姠
uni59E1	U+59E1	姡
uni59E2	U+59E2	姢
uni59E3	U+59E3	姣
uni59E4	U+59E4	姤
uni59E5	U+59E5	姥
uni59E6	U+59E6	姦
uni59E7	U+59E7	姧
uni59E8	U+59E8	姨
uni59E9	U+59E9	姩
uni59EA	U+59EA	姪
uni59EB	U+59EB	姫
uni59EC	U+59EC	姬
uni59ED	U+59ED	姭
uni59EE	U+59EE	姮
uni59EF	U+59EF	姯
uni59F0	U+59F0	姰
uni59F1	U+59F1	姱
uni59F2	U+59F2	姲
uni59F3	U+59F3	姳
uni59F4	U+59F4	姴
uni59F5	U+59F5	姵
uni59F6	U+59F6	姶
uni59F7	U+59F7	姷
uni59F8	U+59F8	姸
uni59F9	U+59F9	姹
uni59FA	U+59FA	姺
uni59FB	U+59FB	姻
uni59FC	U+59FC	姼
uni59FD	U+59FD	姽
uni59FE	U+59FE	姾
uni59FF	U+59FF	姿
uni5A00	U+5A00	娀
uni5A01	U+5A01	威
uni5A02	U+5A02	娂
uni5A03	U+5A03	娃
uni5A04	U+5A04	娄
uni5A05	U+5A05	娅
uni5A06	U+5A06	娆
uni5A07	U+5A07	娇
uni5A08	U+5A08	娈
uni5A09	U+5A09	娉
uni5A0A	U+5A0A	娊
uni5A0B	U+5A0B	娋
uni5A0C	U+5A0C	娌
uni5A0D	U+5A0D	娍
uni5A0E	U+5A0E	娎
uni5A0F	U+5A0F	娏
uni5A10	U+5A10	娐
uni5A11	U+5A11	娑
uni5A12	U+5A12	娒
uni5A13	U+5A13	娓
uni5A14	U+5A14	娔
uni5A15	U+5A15	娕
uni5A16	U+5A16	娖
uni5A17	U+5A17	娗
uni5A18	U+5A18	娘
uni5A19	U+5A19	娙
uni5A1A	U+5A1A	娚
uni5A1B	U+5A1B	娛
uni5A1C	U+5A1C	娜
uni5A1D	U+5A1D	娝
uni5A1E	U+5A1E	娞
uni5A1F	U+5A1F	娟
uni5A20	U+5A20	娠
uni5A21	U+5A21	娡
uni5A22	U+5A22	娢
uni5A23	U+5A23	娣
uni5A24	U+5A24	娤
uni5A25	U+5A25	娥
uni5A26	U+5A26	娦
uni5A27	U+5A27	娧
uni5A28	U+5A28	娨
uni5A29	U+5A29	娩
uni5A2A	U+5A2A	娪
uni5A2B	U+5A2B	娫
uni5A2C	U+5A2C	娬
uni5A2D	U+5A2D	娭
uni5A2E	U+5A2E	娮
uni5A2F	U+5A2F	娯
uni5A30	U+5A30	娰
uni5A31	U+5A31	娱
uni5A32	U+5A32	娲
uni5A33	U+5A33	娳
uni5A34	U+5A34	娴
uni5A35	U+5A35	娵
uni5A36	U+5A36	娶
uni5A37	U+5A37	娷
uni5A38	U+5A38	娸
uni5A39	U+5A39	娹
uni5A3A	U+5A3A	娺
uni5A3B	U+5A3B	娻
uni5A3C	U+5A3C	娼
uni5A3D	U+5A3D	娽
uni5A3E	U+5A3E	娾
uni5A3F	U+5A3F	娿
uni5A40	U+5A40	婀
uni5A41	U+5A41	婁
uni5A42	U+5A42	婂
uni5A43	U+5A43	婃
uni5A44	U+5A44	婄
uni5A45	U+5A45	婅
uni5A46	U+5A46	婆
uni5A47	U+5A47	婇
uni5A48	U+5A48	婈
uni5A49	U+5A49	婉
uni5A4A	U+5A4A	婊
uni5A4B	U+5A4B	婋
uni5A4C	U+5A4C	婌
uni5A4D	U+5A4D	婍
uni5A4E	U+5A4E	婎
uni5A4F	U+5A4F	婏
uni5A50	U+5A50	婐
uni5A51	U+5A51	婑
uni5A52	U+5A52	婒
uni5A53	U+5A53	婓
uni5A54	U+5A54	婔
uni5A55	U+5A55	婕
uni5A56	U+5A56	婖
uni5A57	U+5A57	婗
uni5A58	U+5A58	婘
uni5A59	U+5A59	婙
uni5A5A	U+5A5A	婚
uni5A5B	U+5A5B	婛
uni5A5C	U+5A5C	婜
uni5A5D	U+5A5D	婝
uni5A5E	U+5A5E	婞
uni5A5F	U+5A5F	婟
uni5A60	U+5A60	婠
uni5A61	U+5A61	婡
uni5A62	U+5A62	婢
uni5A63	U+5A63	婣
uni5A64	U+5A64	婤
uni5A65	U+5A65	婥
uni5A66	U+5A66	婦
uni5A67	U+5A67	婧
uni5A68	U+5A68	婨
uni5A69	U+5A69	婩
uni5A6A	U+5A6A	婪
uni5A6B	U+5A6B	婫
uni5A6C	U+5A6C	婬
uni5A6D	U+5A6D	婭
uni5A6E	U+5A6E	婮
uni5A6F	U+5A6F	婯
uni5A70	U+5A70	婰
uni5A71	U+5A71	婱
uni5A72	U+5A72	婲
uni5A73	U+5A73	婳
uni5A74	U+5A74	婴
uni5A75	U+5A75	婵
uni5A76	U+5A76	婶
uni5A77	U+5A77	婷
uni5A78	U+5A78	婸
uni5A79	U+5A79	婹
uni5A7A	U+5A7A	婺
uni5A7B	U+5A7B	婻
uni5A7C	U+5A7C	婼
uni5A7D	U+5A7D	婽
uni5A7E	U+5A7E	婾
uni5A7F	U+5A7F	婿
uni5A80	U+5A80	媀
uni5A81	U+5A81	媁
uni5A82	U+5A82	媂
uni5A83	U+5A83	媃
uni5A84	U+5A84	媄
uni5A85	U+5A85	媅
uni5A86	U+5A86	媆
uni5A87	U+5A87	媇
uni5A88	U+5A88	媈
uni5A89	U+5A89	媉
uni5A8A	U+5A8A	媊
uni5A8B	U+5A8B	媋
uni5A8C	U+5A8C	媌
uni5A8D	U+5A8D	媍
uni5A8E	U+5A8E	媎
uni5A8F	U+5A8F	媏
uni5A90	U+5A90	媐
uni5A91	U+5A91	媑
uni5A92	U+5A92	媒
uni5A93	U+5A93	媓
uni5A94	U+5A94	媔
uni5A95	U+5A95	媕
uni5A96	U+5A96	媖
uni5A97	U+5A97	媗
uni5A98	U+5A98	媘
uni5A99	U+5A99	媙
uni5A9A	U+5A9A	媚
uni5A9B	U+5A9B	媛
uni5A9C	U+5A9C	媜
uni5A9D	U+5A9D	媝
uni5A9E	U+5A9E	媞
uni5A9F	U+5A9F	媟
uni5AA0	U+5AA0	媠
uni5AA1	U+5AA1	媡
uni5AA2	U+5AA2	媢
uni5AA3	U+5AA3	媣
uni5AA4	U+5AA4	媤
uni5AA5	U+5AA5	媥
uni5AA6	U+5AA6	媦
uni5AA7	U+5AA7	媧
uni5AA8	U+5AA8	媨
uni5AA9	U+5AA9	媩
uni5AAA	U+5AAA	媪
uni5AAB	U+5AAB	媫
uni5AAC	U+5AAC	媬
uni5AAD	U+5AAD	媭
uni5AAE	U+5AAE	媮
uni5AAF	U+5AAF	媯
uni5AB0	U+5AB0	媰
uni5AB1	U+5AB1	媱
uni5AB2	U+5AB2	媲
uni5AB3	U+5AB3	媳
uni5AB4	U+5AB4	媴
uni5AB5	U+5AB5	媵
uni5AB6	U+5AB6	媶
uni5AB7	U+5AB7	媷
uni5AB8	U+5AB8	媸
uni5AB9	U+5AB9	媹
uni5ABA	U+5ABA	媺
uni5ABB	U+5ABB	媻
uni5ABC	U+5ABC	媼
uni5ABD	U+5ABD	媽
uni5ABE	U+5ABE	媾
uni5ABF	U+5ABF	媿
uni5AC0	U+5AC0	嫀
uni5AC1	U+5AC1	嫁
uni5AC2	U+5AC2	嫂
uni5AC3	U+5AC3	嫃
uni5AC4	U+5AC4	嫄
uni5AC5	U+5AC5	嫅
uni5AC6	U+5AC6	嫆
uni5AC7	U+5AC7	嫇
uni5AC8	U+5AC8	嫈
uni5AC9	U+5AC9	嫉
uni5ACA	U+5ACA	嫊
uni5ACB	U+5ACB	嫋
uni5ACC	U+5ACC	嫌
uni5ACD	U+5ACD	嫍
uni5ACE	U+5ACE	嫎
uni5ACF	U+5ACF	嫏
uni5AD0	U+5AD0	嫐
uni5AD1	U+5AD1	嫑
uni5AD2	U+5AD2	嫒
uni5AD3	U+5AD3	嫓
uni5AD4	U+5AD4	嫔
uni5AD5	U+5AD5	嫕
uni5AD6	U+5AD6	嫖
uni5AD7	U+5AD7	嫗
uni5AD8	U+5AD8	嫘
uni5AD9	U+5AD9	嫙
uni5ADA	U+5ADA	嫚
uni5ADB	U+5ADB	嫛
uni5ADC	U+5ADC	嫜
uni5ADD	U+5ADD	嫝
uni5ADE	U+5ADE	嫞
uni5ADF	U+5ADF	嫟
uni5AE0	U+5AE0	嫠
uni5AE1	U+5AE1	嫡
uni5AE2	U+5AE2	嫢
uni5AE3	U+5AE3	嫣
uni5AE4	U+5AE4	嫤
uni5AE5	U+5AE5	嫥
