uniF914	U+F914	樂
uniFA18	U+FA18	礼
uniFA19	U+FA19	神
uniFA1A	U+FA1A	祥
uniFA1B	U+FA1B	福
uniFA1C	U+FA1C	靖
uniFA1D	U+FA1D	精
uniFA1E	U+FA1E	羽
uniFA1F	U+FA1F	﨟
uniFA20	U+FA20	蘒
uniFA21	U+FA21	﨡
uniFA22	U+FA22	諸
uniFA23	U+FA23	﨣
uniFA24	U+FA24	﨤
uniFA25	U+FA25	逸
uniFA26	U+FA26	都
uniFA27	U+FA27	﨧
uniFA28	U+FA28	﨨
uniFA29	U+FA29	﨩
uniFA2A	U+FA2A	飯
uniFA2B	U+FA2B	飼
uniFA2C	U+FA2C	館
uniFA2D	U+FA2D	鶴
uniFA2E	U+FA2E	郞
uniFA30	U+FA30	侮
uniFA31	U+FA31	僧
uniFA32	U+FA32	免
uniFA36	U+FA36	喝
uniFA39	U+FA39	塀
uniFA3B	U+FA3B	層
uniFA3C	U+FA3C	屮
uniFA3D	U+FA3D	悔
uniFA3E	U+FA3E	慨
uniFA3F	U+FA3F	憎
uniFA40	U+FA40	懲
uniFA41	U+FA41	敏
uniFA42	U+FA42	既
uniFA43	U+FA43	暑
uniFA44	U+FA44	梅
uniFA45	U+FA45	海
uniFA46	U+FA46	渚
uniFA48	U+FA48	煮
uniFA4A	U+FA4A	琢
uniFA4C	U+FA4C	社
uniFA4D	U+FA4D	祉
uniFA4E	U+FA4E	祈
uniFA4F	U+FA4F	祐
uniFA50	U+FA50	祖
uniFA51	U+FA51	祝
uniFA52	U+FA52	禍
uniFA53	U+FA53	禎
uniFA54	U+FA54	穀
uniFA55	U+FA55	突
uniFA56	U+FA56	節
uniFA58	U+FA58	縉
uniFA59	U+FA59	繁
uniFA5A	U+FA5A	署
uniFA5B	U+FA5B	者
uniFA5C	U+FA5C	臭
uniFA5F	U+FA5F	著
uniFA60	U+FA60	褐
uniFA61	U+FA61	視
uniFA62	U+FA62	謁
uniFA63	U+FA63	謹
uniFA64	U+FA64	賓
uniFA65	U+FA65	贈
uniFA66	U+FA66	辶
uniFA67	U+FA67	逸
uniFA68	U+FA68	難
uniFA69	U+FA69	響
uniFA6A	U+FA6A	頻
uniFA6B	U+FA6B	恵
uniFA6C	U+FA6C	𤋮
uniFA6D	U+FA6D	舘
uni2000B	U+2000B	𠀋
uni20021	U+20021	𠀡
uni20024	U+20024	𠀤
uni2003E	U+2003E	𠀾
uni20046	U+20046	𠁆
uni2004E	U+2004E	𠁎
uni20068	U+20068	𠁨
uni20086	U+20086	𠂆
uni20087	U+20087	𠂇
uni20089	U+20089	𠂉
uni2008A	U+2008A	𠂊
uni20094	U+20094	𠂔
uni200A2	U+200A2	𠂢
uni200A4	U+200A4	𠂤
uni200B0	U+200B0	𠂰
uni200CA	U+200CA	𠃊
uni200CB	U+200CB	𠃋
uni200CC	U+200CC	𠃌
uni200CD	U+200CD	𠃍
uni200D1	U+200D1	𠃑
uni200D7	U+200D7	𠃗
uni200EE	U+200EE	𠃮
uni200F5	U+200F5	𠃵
uni2010C	U+2010C	𠄌
uni2010E	U+2010E	𠄎
uni20118	U+20118	𠄘
uni2012C	U+2012C	𠄬
uni20158	U+20158	𠅘
uni20164	U+20164	𠅤
uni201A2	U+201A2	𠆢
uni201A4	U+201A4	𠆤
uni201A9	U+201A9	𠆩
uni201AB	U+201AB	𠆫
uni201C1	U+201C1	𠇁
uni201D4	U+201D4	𠇔
uni201F2	U+201F2	𠇲
uni20204	U+20204	𠈄
uni2020C	U+2020C	𠈌
uni20213	U+20213	𠈓
uni20214	U+20214	𠈔
uni20239	U+20239	𠈹
uni2025B	U+2025B	𠉛
uni20274	U+20274	𠉴
uni20275	U+20275	𠉵
uni2028E	U+2028E	𠊎
uni20299	U+20299	𠊙
uni2029E	U+2029E	𠊞
uni202A0	U+202A0	𠊠
uni202B7	U+202B7	𠊷
uni202BF	U+202BF	𠊿
uni202C0	U+202C0	𠋀
uni202E5	U+202E5	𠋥
uni2030A	U+2030A	𠌊
uni20325	U+20325	𠌥
uni2032B	U+2032B	𠌫
uni20341	U+20341	𠍁
uni20345	U+20345	𠍅
uni20346	U+20346	𠍆
uni20347	U+20347	𠍇
uni20371	U+20371	𠍱
uni2037E	U+2037E	𠍾
uni2037F	U+2037F	𠍿
uni20380	U+20380	𠎀
uni20381	U+20381	𠎁
uni203A0	U+203A0	𠎠
uni203A7	U+203A7	𠎧
uni203B5	U+203B5	𠎵
uni203C9	U+203C9	𠏉
uni203CB	U+203CB	𠏋
uni203F5	U+203F5	𠏵
uni203F9	U+203F9	𠏹
uni203FC	U+203FC	𠏼
uni20413	U+20413	𠐓
uni20414	U+20414	𠐔
uni2041F	U+2041F	𠐟
uni2042D	U+2042D	𠐭
uni2044A	U+2044A	𠑊
uni20465	U+20465	𠑥
uni20487	U+20487	𠒇
uni2048E	U+2048E	𠒎
uni20491	U+20491	𠒑
uni20492	U+20492	𠒒
uni204A3	U+204A3	𠒣
uni204D7	U+204D7	𠓗
uni204FC	U+204FC	𠓼
uni204FE	U+204FE	𠓾
uni20509	U+20509	𠔉
uni2053F	U+2053F	𠔿
uni20547	U+20547	𠕇
uni2058E	U+2058E	𠖎
uni205A5	U+205A5	𠖥
uni205B1	U+205B1	𠖱
uni205B3	U+205B3	𠖳
uni205C3	U+205C3	𠗃
uni205CA	U+205CA	𠗊
uni205D0	U+205D0	𠗐
uni205D5	U+205D5	𠗕
uni205D6	U+205D6	𠗖
uni205DF	U+205DF	𠗟
uni205E0	U+205E0	𠗠
uni205EB	U+205EB	𠗫
uni20611	U+20611	𠘑
uni20615	U+20615	𠘕
uni20619	U+20619	𠘙
uni2061A	U+2061A	𠘚
uni20630	U+20630	𠘰
uni20656	U+20656	𠙖
uni20676	U+20676	𠙶
uni206EC	U+206EC	𠛬
uni2070E	U+2070E	𠜎
uni20731	U+20731	𠜱
uni2074F	U+2074F	𠝏
uni20779	U+20779	𠝹
uni207C8	U+207C8	𠟈
uni20807	U+20807	𠠇
uni2082C	U+2082C	𠠬
uni2083A	U+2083A	𠠺
uni20873	U+20873	𠡳
uni208B9	U+208B9	𠢹
uni208D5	U+208D5	𠣕
uni2090E	U+2090E	𠤎
uni20916	U+20916	𠤖
uni20923	U+20923	𠤣
uni20954	U+20954	𠥔
uni20979	U+20979	𠥹
uni2097C	U+2097C	𠥼
uni20984	U+20984	𠦄
uni2099D	U+2099D	𠦝
uni209E7	U+209E7	𠧧
uni20A11	U+20A11	𠨑
uni20A50	U+20A50	𠩐
uni20A64	U+20A64	𠩤
uni20A6F	U+20A6F	𠩯
uni20A8A	U+20A8A	𠪊
uni20AB4	U+20AB4	𠪴
uni20AC2	U+20AC2	𠫂
uni20ACD	U+20ACD	𠫍
uni20AD3	U+20AD3	𠫓
uni20B0D	U+20B0D	𠬍
uni20B1D	U+20B1D	𠬝
uni20B8F	U+20B8F	𠮏
uni20B9F	U+20B9F	𠮟
uni20BA8	U+20BA8	𠮨
uni20BA9	U+20BA9	𠮩
uni20BB7	U+20BB7	𠮷
uni20BBF	U+20BBF	𠮿
uni20BC6	U+20BC6	𠯆
uni20BCB	U+20BCB	𠯋
uni20BE2	U+20BE2	𠯢
uni20BEB	U+20BEB	𠯫
uni20BFB	U+20BFB	𠯻
uni20BFF	U+20BFF	𠯿
uni20C0B	U+20C0B	𠰋
uni20C0D	U+20C0D	𠰍
uni20C20	U+20C20	𠰠
uni20C34	U+20C34	𠰴
uni20C3A	U+20C3A	𠰺
uni20C3B	U+20C3B	𠰻
uni20C41	U+20C41	𠱁
uni20C42	U+20C42	𠱂
uni20C43	U+20C43	𠱃
uni20C53	U+20C53	𠱓
uni20C65	U+20C65	𠱥
uni20C77	U+20C77	𠱷
uni20C78	U+20C78	𠱸
uni20C7C	U+20C7C	𠱼
uni20C8D	U+20C8D	𠲍
uni20C96	U+20C96	𠲖
uni20C9C	U+20C9C	𠲜
uni20CB5	U+20CB5	𠲵
uni20CB8	U+20CB8	𠲸
uni20CCF	U+20CCF	𠳏
uni20CD0	U+20CD0	𠳐
uni20CD3	U+20CD3	𠳓
uni20CD4	U+20CD4	𠳔
uni20CD5	U+20CD5	𠳕
uni20CD6	U+20CD6	𠳖
uni20CDD	U+20CDD	𠳝
uni20CED	U+20CED	𠳭
uni20CFF	U+20CFF	𠳿
uni20D15	U+20D15	𠴕
uni20D28	U+20D28	𠴨
uni20D31	U+20D31	𠴱
uni20D32	U+20D32	𠴲
uni20D45	U+20D45	𠵅
uni20D46	U+20D46	𠵆
uni20D47	U+20D47	𠵇
uni20D48	U+20D48	𠵈
uni20D49	U+20D49	𠵉
uni20D4C	U+20D4C	𠵌
uni20D4D	U+20D4D	𠵍
uni20D4E	U+20D4E	𠵎
uni20D58	U+20D58	𠵘
uni20D6F	U+20D6F	𠵯
uni20D71	U+20D71	𠵱
uni20D74	U+20D74	𠵴
uni20D7C	U+20D7C	𠵼
uni20D7E	U+20D7E	𠵾
uni20D7F	U+20D7F	𠵿
uni20D96	U+20D96	𠶖
uni20D9C	U+20D9C	𠶜
uni20DA7	U+20DA7	𠶧
uni20DB2	U+20DB2	𠶲
uni20DC8	U+20DC8	𠷈
uni20DE1	U+20DE1	𠷡
uni20E04	U+20E04	𠸄
uni20E09	U+20E09	𠸉
uni20E0A	U+20E0A	𠸊
uni20E0D	U+20E0D	𠸍
uni20E0E	U+20E0E	𠸎
uni20E0F	U+20E0F	𠸏
uni20E10	U+20E10	𠸐
uni20E11	U+20E11	𠸑
uni20E16	U+20E16	𠸖
uni20E1D	U+20E1D	𠸝
uni20E4C	U+20E4C	𠹌
uni20E64	U+20E64	𠹤
uni20E6D	U+20E6D	𠹭
uni20E73	U+20E73	𠹳
uni20E75	U+20E75	𠹵
uni20E76	U+20E76	𠹶
uni20E77	U+20E77	𠹷
uni20E78	U+20E78	𠹸
uni20E79	U+20E79	𠹹
uni20E7A	U+20E7A	𠹺
uni20E7B	U+20E7B	𠹻
uni20E8C	U+20E8C	𠺌
uni20E95	U+20E95	𠺕
uni20E96	U+20E96	𠺖
uni20E98	U+20E98	𠺘
uni20E9D	U+20E9D	𠺝
uni20EA2	U+20EA2	𠺢
uni20EAA	U+20EAA	𠺪
uni20EAB	U+20EAB	𠺫
uni20EAC	U+20EAC	𠺬
uni20EB6	U+20EB6	𠺶
uni20ED7	U+20ED7	𠻗
uni20ED8	U+20ED8	𠻘
uni20EDD	U+20EDD	𠻝
uni20EF8	U+20EF8	𠻸
uni20EF9	U+20EF9	𠻹
uni20EFA	U+20EFA	𠻺
uni20EFB	U+20EFB	𠻻
uni20F1D	U+20F1D	𠼝
uni20F26	U+20F26	𠼦
uni20F2D	U+20F2D	𠼭
uni20F2E	U+20F2E	𠼮
uni20F30	U+20F30	𠼰
uni20F31	U+20F31	𠼱
uni20F3B	U+20F3B	𠼻
uni20F4C	U+20F4C	𠽌
uni20F5F	U+20F5F	𠽟
uni20F64	U+20F64	𠽤
uni20F8D	U+20F8D	𠾍
uni20F90	U+20F90	𠾐
uni20FAD	U+20FAD	𠾭
uni20FB4	U+20FB4	𠾴
uni20FB5	U+20FB5	𠾵
uni20FB6	U+20FB6	𠾶
uni20FBC	U+20FBC	𠾼
uni20FDF	U+20FDF	𠿟
uni20FEA	U+20FEA	𠿪
uni20FEB	U+20FEB	𠿫
uni20FEC	U+20FEC	𠿬
uni20FED	U+20FED	𠿭
uni21014	U+21014	𡀔
uni2101D	U+2101D	𡀝
uni2101E	U+2101E	𡀞
uni2104F	U+2104F	𡁏
uni2105C	U+2105C	𡁜
uni2106F	U+2106F	𡁯
uni21075	U+21075	𡁵
uni21076	U+21076	𡁶
uni21077	U+21077	𡁷
uni21078	U+21078	𡁸
uni2107B	U+2107B	𡁻
uni21088	U+21088	𡂈
uni21096	U+21096	𡂖
uni2109D	U+2109D	𡂝
uni210B4	U+210B4	𡂴
uni210BF	U+210BF	𡂿
uni210C0	U+210C0	𡃀
uni210C1	U+210C1	𡃁
uni210C7	U+210C7	𡃇
uni210C8	U+210C8	𡃈
uni210C9	U+210C9	𡃉
uni210CF	U+210CF	𡃏
uni210D3	U+210D3	𡃓
uni210E4	U+210E4	𡃤
uni210F4	U+210F4	𡃴
uni210F5	U+210F5	𡃵
uni210F6	U+210F6	𡃶
uni2112F	U+2112F	𡄯
uni2113B	U+2113B	𡄻
uni2113D	U+2113D	𡄽
uni21145	U+21145	𡅅
uni21148	U+21148	𡅈
uni2114F	U+2114F	𡅏
uni21155	U+21155	𡅕
uni21180	U+21180	𡆀
uni21187	U+21187	𡆇
uni211D9	U+211D9	𡇙
uni21201	U+21201	𡈁
uni2123C	U+2123C	𡈼
uni2123D	U+2123D	𡈽
uni2124F	U+2124F	𡉏
uni21255	U+21255	𡉕
uni21274	U+21274	𡉴
uni2127B	U+2127B	𡉻
uni2127C	U+2127C	𡉼
uni2128D	U+2128D	𡊍
uni212A8	U+212A8	𡊨
uni212A9	U+212A9	𡊩
uni212B0	U+212B0	𡊰
uni212D7	U+212D7	𡋗
uni212E3	U+212E3	𡋣
uni212E4	U+212E4	𡋤
uni212FD	U+212FD	𡋽
uni212FE	U+212FE	𡋾
uni21302	U+21302	𡌂
uni21303	U+21303	𡌃
uni21304	U+21304	𡌄
uni21305	U+21305	𡌅
uni2131B	U+2131B	𡌛
uni21336	U+21336	𡌶
uni2133A	U+2133A	𡌺
uni21344	U+21344	𡍄
uni21375	U+21375	𡍵
uni21376	U+21376	𡍶
uni2138E	U+2138E	𡎎
uni21398	U+21398	𡎘
uni2139A	U+2139A	𡎚
uni2139C	U+2139C	𡎜
uni213C4	U+213C4	𡏄
uni213C5	U+213C5	𡏅
uni213C6	U+213C6	𡏆
uni213ED	U+213ED	𡏭
uni213FE	U+213FE	𡏾
uni21413	U+21413	𡐓
uni21416	U+21416	𡐖
uni21424	U+21424	𡐤
uni2143F	U+2143F	𡐿
uni21452	U+21452	𡑒
uni21454	U+21454	𡑔
uni21455	U+21455	𡑕
uni2146D	U+2146D	𡑭
uni2146E	U+2146E	𡑮
uni2148A	U+2148A	𡒊
uni21497	U+21497	𡒗
uni214B6	U+214B6	𡒶
uni214E8	U+214E8	𡓨
uni214FD	U+214FD	𡓽
uni21577	U+21577	𡕷
uni21582	U+21582	𡖂
uni21594	U+21594	𡖔
uni21596	U+21596	𡖖
uni215D7	U+215D7	𡗗
uni2160A	U+2160A	𡘊
uni21613	U+21613	𡘓
uni21619	U+21619	𡘙
uni2163E	U+2163E	𡘾
uni21647	U+21647	𡙇
uni21661	U+21661	𡙡
uni21692	U+21692	𡚒
uni216B4	U+216B4	𡚴
uni216B8	U+216B8	𡚸
uni216BA	U+216BA	𡚺
uni216C0	U+216C0	𡛀
uni216C1	U+216C1	𡛁
uni216C2	U+216C2	𡛂
uni216D3	U+216D3	𡛓
uni216D5	U+216D5	𡛕
uni216DF	U+216DF	𡛟
uni216E6	U+216E6	𡛦
uni216E7	U+216E7	𡛧
uni216E8	U+216E8	𡛨
uni216FA	U+216FA	𡛺
uni216FB	U+216FB	𡛻
uni216FC	U+216FC	𡛼
uni216FE	U+216FE	𡛾
uni21706	U+21706	𡜆
uni2170D	U+2170D	𡜍
uni21710	U+21710	𡜐
uni21726	U+21726	𡜦
uni21727	U+21727	𡜧
uni2173A	U+2173A	𡜺
uni2173B	U+2173B	𡜻
uni2173C	U+2173C	𡜼
uni21742	U+21742	𡝂
uni21757	U+21757	𡝗
uni2176C	U+2176C	𡝬
uni2176D	U+2176D	𡝭
uni2176E	U+2176E	𡝮
uni2176F	U+2176F	𡝯
uni21770	U+21770	𡝰
uni21771	U+21771	𡝱
uni21773	U+21773	𡝳
uni21774	U+21774	𡝴
uni217AB	U+217AB	𡞫
uni217B0	U+217B0	𡞰
uni217B1	U+217B1	𡞱
uni217B2	U+217B2	𡞲
uni217B3	U+217B3	𡞳
uni217B4	U+217B4	𡞴
uni217B5	U+217B5	𡞵
uni217C3	U+217C3	𡟃
uni217C7	U+217C7	𡟇
uni217D9	U+217D9	𡟙
uni217DA	U+217DA	𡟚
uni217DB	U+217DB	𡟛
uni217DC	U+217DC	𡟜
uni217DF	U+217DF	𡟟
uni217EF	U+217EF	𡟯
uni217F5	U+217F5	𡟵
uni217F6	U+217F6	𡟶
uni217F8	U+217F8	𡟸
uni217F9	U+217F9	𡟹
uni217FA	U+217FA	𡟺
uni217FB	U+217FB	𡟻
uni217FC	U+217FC	𡟼
uni21820	U+21820	𡠠
uni21828	U+21828	𡠨
uni21829	U+21829	𡠩
uni2182A	U+2182A	𡠪
uni2182D	U+2182D	𡠭
uni21839	U+21839	𡠹
uni2183A	U+2183A	𡠺
uni2183B	U+2183B	𡠻
uni21840	U+21840	𡡀
uni21845	U+21845	𡡅
uni21852	U+21852	𡡒
uni2185E	U+2185E	𡡞
uni21861	U+21861	𡡡
uni21862	U+21862	𡡢
uni21863	U+21863	𡡣
uni21864	U+21864	𡡤
uni21877	U+21877	𡡷
uni2187B	U+2187B	𡡻
uni21883	U+21883	𡢃
uni21884	U+21884	𡢄
uni21885	U+21885	𡢅
uni2189E	U+2189E	𡢞
uni2189F	U+2189F	𡢟
uni218A0	U+218A0	𡢠
uni218A1	U+218A1	𡢡
uni218A2	U+218A2	𡢢
uni218BD	U+218BD	𡢽
uni218BE	U+218BE	𡢾
uni218BF	U+218BF	𡢿
uni218D1	U+218D1	𡣑
uni218D6	U+218D6	𡣖
uni218D7	U+218D7	𡣗
uni218D8	U+218D8	𡣘
uni218D9	U+218D9	𡣙
uni218FA	U+218FA	𡣺
uni21903	U+21903	𡤃
uni21904	U+21904	𡤄
uni21905	U+21905	𡤅
uni21910	U+21910	𡤐
uni21911	U+21911	𡤑
uni21912	U+21912	𡤒
uni21915	U+21915	𡤕
uni2191C	U+2191C	𡤜
uni21922	U+21922	𡤢
uni21927	U+21927	𡤧
uni2193B	U+2193B	𡤻
uni21944	U+21944	𡥄
uni21958	U+21958	𡥘
uni2196A	U+2196A	𡥪
uni2197C	U+2197C	𡥼
uni21980	U+21980	𡦀
uni21983	U+21983	𡦃
uni21988	U+21988	𡦈
uni21996	U+21996	𡦖
uni219C3	U+219C3	𡧃
uni219DB	U+219DB	𡧛
uni219F3	U+219F3	𡧳
uni21A1A	U+21A1A	𡨚
uni21A2D	U+21A2D	𡨭
uni21A34	U+21A34	𡨴
uni21A45	U+21A45	𡩅
uni21A4B	U+21A4B	𡩋
uni21A63	U+21A63	𡩣
uni21B44	U+21B44	𡭄
uni21BC1	U+21BC1	𡯁
uni21BC2	U+21BC2	𡯂
uni21C2A	U+21C2A	𡰪
uni21C56	U+21C56	𡱖
uni21C70	U+21C70	𡱰
uni21CA2	U+21CA2	𡲢
uni21CA5	U+21CA5	𡲥
uni21CAC	U+21CAC	𡲬
uni21D2D	U+21D2D	𡴭
uni21D45	U+21D45	𡵅
uni21D46	U+21D46	𡵆
uni21D53	U+21D53	𡵓
uni21D5E	U+21D5E	𡵞
uni21D62	U+21D62	𡵢
uni21D78	U+21D78	𡵸
uni21D90	U+21D90	𡶐
uni21D92	U+21D92	𡶒
uni21D9C	U+21D9C	𡶜
uni21DA1	U+21DA1	𡶡
uni21DB6	U+21DB6	𡶶
uni21DB7	U+21DB7	𡶷
uni21DBA	U+21DBA	𡶺
uni21DCA	U+21DCA	𡷊
uni21DD1	U+21DD1	𡷑
uni21DE0	U+21DE0	𡷠
uni21DEB	U+21DEB	𡷫
uni21DF9	U+21DF9	𡷹
uni21E1C	U+21E1C	𡸜
uni21E23	U+21E23	𡸣
uni21E33	U+21E33	𡸳
uni21E34	U+21E34	𡸴
uni21E37	U+21E37	𡸷
uni21E3D	U+21E3D	𡸽
uni21E89	U+21E89	𡺉
uni21EA4	U+21EA4	𡺤
uni21EA8	U+21EA8	𡺨
uni21EC8	U+21EC8	𡻈
uni21ED5	U+21ED5	𡻕
uni21F0F	U+21F0F	𡼏
uni21F15	U+21F15	𡼕
uni21F1E	U+21F1E	𡼞
uni21F5C	U+21F5C	𡽜
uni21F6A	U+21F6A	𡽪
uni21F76	U+21F76	𡽶
uni21F9E	U+21F9E	𡾞
uni21FA1	U+21FA1	𡾡
uni21FE8	U+21FE8	𡿨
uni21FFA	U+21FFA	𡿺
uni22045	U+22045	𢁅
uni22049	U+22049	𢁉
uni2207E	U+2207E	𢁾
uni2209A	U+2209A	𢂚
uni220C7	U+220C7	𢃇
uni220FC	U+220FC	𢃼
uni2212A	U+2212A	𢄪
uni2215B	U+2215B	𢅛
uni22173	U+22173	𢅳
uni2217A	U+2217A	𢅺
uni2217B	U+2217B	𢅻
uni221A1	U+221A1	𢆡
uni221C1	U+221C1	𢇁
uni221C3	U+221C3	𢇃
uni22208	U+22208	𢈈
uni22218	U+22218	𢈘
uni2227C	U+2227C	𢉼
uni2231E	U+2231E	𢌞
uni22321	U+22321	𢌡
uni22325	U+22325	𢌥
uni223AD	U+223AD	𢎭
uni223BD	U+223BD	𢎽
uni223D0	U+223D0	𢏐
uni223D7	U+223D7	𢏗
uni223FA	U+223FA	𢏺
uni22465	U+22465	𢑥
uni22471	U+22471	𢑱
uni2248B	U+2248B	𢒋
uni22491	U+22491	𢒑
uni224B0	U+224B0	𢒰
uni224BC	U+224BC	𢒼
uni224C1	U+224C1	𢓁
uni224C9	U+224C9	𢓉
uni224CC	U+224CC	𢓌
uni224E1	U+224E1	𢓡
uni224ED	U+224ED	𢓭
uni22513	U+22513	𢔓
uni2251B	U+2251B	𢔛
uni22530	U+22530	𢔰
uni22554	U+22554	𢕔
uni2258D	U+2258D	𢖍
uni225AF	U+225AF	𢖯
uni225BE	U+225BE	𢖾
uni22609	U+22609	𢘉
uni2261B	U+2261B	𢘛
uni2261C	U+2261C	𢘜
uni2262B	U+2262B	𢘫
uni22668	U+22668	𢙨
uni2267A	U+2267A	𢙺
uni22696	U+22696	𢚖
uni22698	U+22698	𢚘
uni226F3	U+226F3	𢛳
uni226F4	U+226F4	𢛴
uni226F5	U+226F5	𢛵
uni226F6	U+226F6	𢛶
uni22712	U+22712	𢜒
uni22714	U+22714	𢜔
uni2271B	U+2271B	𢜛
uni2271F	U+2271F	𢜟
uni2272A	U+2272A	𢜪
uni22775	U+22775	𢝵
uni22781	U+22781	𢞁
uni22796	U+22796	𢞖
uni227B4	U+227B4	𢞴
uni227B5	U+227B5	𢞵
uni227CD	U+227CD	𢟍
uni22803	U+22803	𢠃
uni2285B	U+2285B	𢡛
uni2285F	U+2285F	𢡟
uni22860	U+22860	𢡠
uni22871	U+22871	𢡱
uni228AB	U+228AB	𢢫
uni228AD	U+228AD	𢢭
uni228C1	U+228C1	𢣁
uni228F7	U+228F7	𢣷
uni22926	U+22926	𢤦
uni22939	U+22939	𢤹
uni2294F	U+2294F	𢥏
uni22967	U+22967	𢥧
