uniFA14	U+FA14	﨔
uni20CD0	U+20CD0	𠳐
uni20CD3	U+20CD3	𠳓
uni20CD4	U+20CD4	𠳔
uni20CD5	U+20CD5	𠳕
uni20CD6	U+20CD6	𠳖
uni20CDD	U+20CDD	𠳝
uni20CED	U+20CED	𠳭
uni20CFF	U+20CFF	𠳿
uni20D15	U+20D15	𠴕
uni20D28	U+20D28	𠴨
uni20D31	U+20D31	𠴱
uni20D32	U+20D32	𠴲
uni20D45	U+20D45	𠵅
uni20D46	U+20D46	𠵆
uni20D47	U+20D47	𠵇
uni20D48	U+20D48	𠵈
uni20D49	U+20D49	𠵉
uni20D4C	U+20D4C	𠵌
uni20D4D	U+20D4D	𠵍
uni20D4E	U+20D4E	𠵎
uni20D58	U+20D58	𠵘
uni20D6F	U+20D6F	𠵯
uni20D71	U+20D71	𠵱
uni20D74	U+20D74	𠵴
uni20D7C	U+20D7C	𠵼
uni20D7E	U+20D7E	𠵾
uni20D7F	U+20D7F	𠵿
uni20D96	U+20D96	𠶖
uni20D9C	U+20D9C	𠶜
uni20DA7	U+20DA7	𠶧
uni20DB2	U+20DB2	𠶲
uni20DC8	U+20DC8	𠷈
uni20DE1	U+20DE1	𠷡
uni20E04	U+20E04	𠸄
uni20E09	U+20E09	𠸉
uni20E0A	U+20E0A	𠸊
uni20E0D	U+20E0D	𠸍
uni20E0E	U+20E0E	𠸎
uni20E0F	U+20E0F	𠸏
uni20E10	U+20E10	𠸐
uni20E11	U+20E11	𠸑
uni20E16	U+20E16	𠸖
uni20E1D	U+20E1D	𠸝
uni20E4C	U+20E4C	𠹌
uni20E64	U+20E64	𠹤
uni20E6D	U+20E6D	𠹭
uni20E73	U+20E73	𠹳
uni20E75	U+20E75	𠹵
uni20E76	U+20E76	𠹶
uni20E77	U+20E77	𠹷
uni20E78	U+20E78	𠹸
uni20E79	U+20E79	𠹹
uni20E7A	U+20E7A	𠹺
uni20E7B	U+20E7B	𠹻
uni20E8C	U+20E8C	𠺌
uni20E95	U+20E95	𠺕
uni20E96	U+20E96	𠺖
uni20E98	U+20E98	𠺘
uni20E9D	U+20E9D	𠺝
uni20EA2	U+20EA2	𠺢
uni20EAA	U+20EAA	𠺪
uni20EAB	U+20EAB	𠺫
uni20EAC	U+20EAC	𠺬
uni20EB6	U+20EB6	𠺶
uni20ED7	U+20ED7	𠻗
uni20ED8	U+20ED8	𠻘
uni20EDD	U+20EDD	𠻝
uni20EF8	U+20EF8	𠻸
uni20EF9	U+20EF9	𠻹
uni20EFA	U+20EFA	𠻺
uni20EFB	U+20EFB	𠻻
uni20F1D	U+20F1D	𠼝
uni20F26	U+20F26	𠼦
uni20F2D	U+20F2D	𠼭
uni20F2E	U+20F2E	𠼮
uni20F30	U+20F30	𠼰
uni20F31	U+20F31	𠼱
uni20F3B	U+20F3B	𠼻
uni20F4C	U+20F4C	𠽌
uni20F5F	U+20F5F	𠽟
uni20F64	U+20F64	𠽤
uni20F8D	U+20F8D	𠾍
uni20F90	U+20F90	𠾐
uni20FAD	U+20FAD	𠾭
uni20FB4	U+20FB4	𠾴
uni20FB5	U+20FB5	𠾵
uni20FB6	U+20FB6	𠾶
uni20FBC	U+20FBC	𠾼
uni20FDF	U+20FDF	𠿟
uni20FEA	U+20FEA	𠿪
uni20FEB	U+20FEB	𠿫
uni20FEC	U+20FEC	𠿬
uni20FED	U+20FED	𠿭
uni21014	U+21014	𡀔
uni2101D	U+2101D	𡀝
uni2101E	U+2101E	𡀞
uni2104F	U+2104F	𡁏
uni2105C	U+2105C	𡁜
uni2106F	U+2106F	𡁯
uni21075	U+21075	𡁵
uni21076	U+21076	𡁶
uni21077	U+21077	𡁷
uni21078	U+21078	𡁸
uni2107B	U+2107B	𡁻
uni21088	U+21088	𡂈
uni21096	U+21096	𡂖
uni2109D	U+2109D	𡂝
uni210B4	U+210B4	𡂴
uni210BF	U+210BF	𡂿
uni210C0	U+210C0	𡃀
uni210C1	U+210C1	𡃁
uni210C7	U+210C7	𡃇
uni210C8	U+210C8	𡃈
uni210C9	U+210C9	𡃉
uni210CF	U+210CF	𡃏
uni210D3	U+210D3	𡃓
uni210E4	U+210E4	𡃤
uni210F4	U+210F4	𡃴
uni210F5	U+210F5	𡃵
uni210F6	U+210F6	𡃶
uni2112F	U+2112F	𡄯
uni2113B	U+2113B	𡄻
uni2113D	U+2113D	𡄽
uni21145	U+21145	𡅅
uni21148	U+21148	𡅈
uni2114F	U+2114F	𡅏
uni21155	U+21155	𡅕
uni21180	U+21180	𡆀
uni21187	U+21187	𡆇
uni211D9	U+211D9	𡇙
uni21201	U+21201	𡈁
uni2123C	U+2123C	𡈼
uni2123D	U+2123D	𡈽
uni2124F	U+2124F	𡉏
uni21255	U+21255	𡉕
uni21274	U+21274	𡉴
uni2127B	U+2127B	𡉻
uni2127C	U+2127C	𡉼
uni2128D	U+2128D	𡊍
uni212A8	U+212A8	𡊨
uni212A9	U+212A9	𡊩
uni212B0	U+212B0	𡊰
uni212D7	U+212D7	𡋗
uni212E3	U+212E3	𡋣
uni212E4	U+212E4	𡋤
uni212FD	U+212FD	𡋽
uni212FE	U+212FE	𡋾
uni21302	U+21302	𡌂
uni21303	U+21303	𡌃
uni21304	U+21304	𡌄
uni21305	U+21305	𡌅
uni2131B	U+2131B	𡌛
uni21336	U+21336	𡌶
uni2133A	U+2133A	𡌺
uni21344	U+21344	𡍄
uni21375	U+21375	𡍵
uni21376	U+21376	𡍶
uni2138E	U+2138E	𡎎
uni21398	U+21398	𡎘
uni2139A	U+2139A	𡎚
uni2139C	U+2139C	𡎜
uni213C4	U+213C4	𡏄
uni213C5	U+213C5	𡏅
uni213C6	U+213C6	𡏆
uni213ED	U+213ED	𡏭
uni213FE	U+213FE	𡏾
uni21413	U+21413	𡐓
uni21416	U+21416	𡐖
uni21424	U+21424	𡐤
uni2143F	U+2143F	𡐿
uni21452	U+21452	𡑒
uni21454	U+21454	𡑔
uni21455	U+21455	𡑕
uni2146D	U+2146D	𡑭
uni2146E	U+2146E	𡑮
uni2148A	U+2148A	𡒊
uni21497	U+21497	𡒗
uni214B6	U+214B6	𡒶
uni214E8	U+214E8	𡓨
uni214FD	U+214FD	𡓽
uni21577	U+21577	𡕷
uni21582	U+21582	𡖂
uni21594	U+21594	𡖔
uni21596	U+21596	𡖖
uni215D7	U+215D7	𡗗
uni2160A	U+2160A	𡘊
uni21613	U+21613	𡘓
uni21619	U+21619	𡘙
uni2163E	U+2163E	𡘾
uni21647	U+21647	𡙇
uni21661	U+21661	𡙡
uni21692	U+21692	𡚒
uni216B4	U+216B4	𡚴
uni216B8	U+216B8	𡚸
uni216BA	U+216BA	𡚺
uni216C0	U+216C0	𡛀
uni216C1	U+216C1	𡛁
uni216C2	U+216C2	𡛂
uni216D3	U+216D3	𡛓
uni216D5	U+216D5	𡛕
uni216DF	U+216DF	𡛟
uni216E6	U+216E6	𡛦
uni216E7	U+216E7	𡛧
uni216E8	U+216E8	𡛨
uni216FA	U+216FA	𡛺
uni216FB	U+216FB	𡛻
uni216FC	U+216FC	𡛼
uni216FE	U+216FE	𡛾
uni21706	U+21706	𡜆
uni2170D	U+2170D	𡜍
uni21710	U+21710	𡜐
uni21726	U+21726	𡜦
uni21727	U+21727	𡜧
uni2173A	U+2173A	𡜺
uni2173B	U+2173B	𡜻
uni2173C	U+2173C	𡜼
uni21742	U+21742	𡝂
uni21757	U+21757	𡝗
uni2176C	U+2176C	𡝬
uni2176D	U+2176D	𡝭
uni2176E	U+2176E	𡝮
uni2176F	U+2176F	𡝯
uni21770	U+21770	𡝰
uni21771	U+21771	𡝱
uni21773	U+21773	𡝳
uni21774	U+21774	𡝴
uni217AB	U+217AB	𡞫
uni217B0	U+217B0	𡞰
uni217B1	U+217B1	𡞱
uni217B2	U+217B2	𡞲
uni217B3	U+217B3	𡞳
uni217B4	U+217B4	𡞴
uni217B5	U+217B5	𡞵
uni217C3	U+217C3	𡟃
uni217C7	U+217C7	𡟇
uni217D9	U+217D9	𡟙
uni217DA	U+217DA	𡟚
uni217DB	U+217DB	𡟛
uni217DC	U+217DC	𡟜
uni217DF	U+217DF	𡟟
uni217EF	U+217EF	𡟯
uni217F5	U+217F5	𡟵
uni217F6	U+217F6	𡟶
uni217F8	U+217F8	𡟸
uni217F9	U+217F9	𡟹
uni217FA	U+217FA	𡟺
uni217FB	U+217FB	𡟻
uni217FC	U+217FC	𡟼
uni21820	U+21820	𡠠
uni21828	U+21828	𡠨
uni21829	U+21829	𡠩
uni2182A	U+2182A	𡠪
uni2182D	U+2182D	𡠭
uni21839	U+21839	𡠹
uni2183A	U+2183A	𡠺
uni2183B	U+2183B	𡠻
uni21840	U+21840	𡡀
uni21845	U+21845	𡡅
uni21852	U+21852	𡡒
uni2185E	U+2185E	𡡞
uni21861	U+21861	𡡡
uni21862	U+21862	𡡢
uni21863	U+21863	𡡣
uni21864	U+21864	𡡤
uni21877	U+21877	𡡷
uni2187B	U+2187B	𡡻
uni21883	U+21883	𡢃
uni21884	U+21884	𡢄
uni21885	U+21885	𡢅
uni2189E	U+2189E	𡢞
uni2189F	U+2189F	𡢟
uni218A0	U+218A0	𡢠
uni218A1	U+218A1	𡢡
uni218A2	U+218A2	𡢢
uni218BD	U+218BD	𡢽
uni218BE	U+218BE	𡢾
uni218BF	U+218BF	𡢿
uni218D1	U+218D1	𡣑
uni218D6	U+218D6	𡣖
uni218D7	U+218D7	𡣗
uni218D8	U+218D8	𡣘
uni218D9	U+218D9	𡣙
uni218FA	U+218FA	𡣺
uni21903	U+21903	𡤃
uni21904	U+21904	𡤄
uni21905	U+21905	𡤅
uni21910	U+21910	𡤐
uni21911	U+21911	𡤑
uni21912	U+21912	𡤒
uni21915	U+21915	𡤕
uni2191C	U+2191C	𡤜
uni21922	U+21922	𡤢
uni21927	U+21927	𡤧
uni2193B	U+2193B	𡤻
uni21944	U+21944	𡥄
uni21958	U+21958	𡥘
uni2196A	U+2196A	𡥪
uni2197C	U+2197C	𡥼
uni21980	U+21980	𡦀
uni21983	U+21983	𡦃
uni21988	U+21988	𡦈
uni21996	U+21996	𡦖
uni219C3	U+219C3	𡧃
uni219DB	U+219DB	𡧛
uni219F3	U+219F3	𡧳
uni21A1A	U+21A1A	𡨚
uni21A2D	U+21A2D	𡨭
uni21A34	U+21A34	𡨴
uni21A45	U+21A45	𡩅
uni21A4B	U+21A4B	𡩋
uni21A63	U+21A63	𡩣
uni21B44	U+21B44	𡭄
uni21BC1	U+21BC1	𡯁
uni21BC2	U+21BC2	𡯂
uni21C2A	U+21C2A	𡰪
uni21C56	U+21C56	𡱖
uni21C70	U+21C70	𡱰
uni21CA2	U+21CA2	𡲢
uni21CA5	U+21CA5	𡲥
uni21CAC	U+21CAC	𡲬
uni21D2D	U+21D2D	𡴭
uni21D45	U+21D45	𡵅
uni21D46	U+21D46	𡵆
uni21D53	U+21D53	𡵓
uni21D5E	U+21D5E	𡵞
uni21D62	U+21D62	𡵢
uni21D78	U+21D78	𡵸
uni21D90	U+21D90	𡶐
uni21D92	U+21D92	𡶒
uni21D9C	U+21D9C	𡶜
uni21DA1	U+21DA1	𡶡
uni21DB6	U+21DB6	𡶶
uni21DB7	U+21DB7	𡶷
uni21DBA	U+21DBA	𡶺
uni21DCA	U+21DCA	𡷊
uni21DD1	U+21DD1	𡷑
uni21DE0	U+21DE0	𡷠
uni21DEB	U+21DEB	𡷫
uni21DF9	U+21DF9	𡷹
uni21E1C	U+21E1C	𡸜
uni21E23	U+21E23	𡸣
uni21E33	U+21E33	𡸳
uni21E34	U+21E34	𡸴
uni21E37	U+21E37	𡸷
uni21E3D	U+21E3D	𡸽
uni21E89	U+21E89	𡺉
uni21EA4	U+21EA4	𡺤
uni21EA8	U+21EA8	𡺨
uni21EC8	U+21EC8	𡻈
uni21ED5	U+21ED5	𡻕
uni21F0F	U+21F0F	𡼏
uni21F15	U+21F15	𡼕
uni21F1E	U+21F1E	𡼞
uni21F5C	U+21F5C	𡽜
uni21F6A	U+21F6A	𡽪
uni21F76	U+21F76	𡽶
uni21F9E	U+21F9E	𡾞
uni21FA1	U+21FA1	𡾡
uni21FE8	U+21FE8	𡿨
uni21FFA	U+21FFA	𡿺
uni22045	U+22045	𢁅
uni22049	U+22049	𢁉
uni2207E	U+2207E	𢁾
uni2209A	U+2209A	𢂚
uni220C7	U+220C7	𢃇
uni220FC	U+220FC	𢃼
uni2212A	U+2212A	𢄪
uni2215B	U+2215B	𢅛
uni22173	U+22173	𢅳
uni2217A	U+2217A	𢅺
uni2217B	U+2217B	𢅻
uni221A1	U+221A1	𢆡
uni221C1	U+221C1	𢇁
uni221C3	U+221C3	𢇃
uni22208	U+22208	𢈈
uni22218	U+22218	𢈘
uni2227C	U+2227C	𢉼
uni2231E	U+2231E	𢌞
uni22321	U+22321	𢌡
uni22325	U+22325	𢌥
uni223AD	U+223AD	𢎭
uni223BD	U+223BD	𢎽
uni223D0	U+223D0	𢏐
uni223D7	U+223D7	𢏗
uni223FA	U+223FA	𢏺
uni22465	U+22465	𢑥
uni22471	U+22471	𢑱
uni2248B	U+2248B	𢒋
uni22491	U+22491	𢒑
uni224B0	U+224B0	𢒰
uni224BC	U+224BC	𢒼
uni224C1	U+224C1	𢓁
uni224C9	U+224C9	𢓉
uni224CC	U+224CC	𢓌
uni224E1	U+224E1	𢓡
uni224ED	U+224ED	𢓭
uni22513	U+22513	𢔓
uni2251B	U+2251B	𢔛
uni22530	U+22530	𢔰
uni22554	U+22554	𢕔
uni2258D	U+2258D	𢖍
uni225AF	U+225AF	𢖯
uni225BE	U+225BE	𢖾
uni22609	U+22609	𢘉
uni2261B	U+2261B	𢘛
uni2261C	U+2261C	𢘜
uni2262B	U+2262B	𢘫
uni22668	U+22668	𢙨
uni2267A	U+2267A	𢙺
uni22696	U+22696	𢚖
uni22698	U+22698	𢚘
uni226F3	U+226F3	𢛳
uni226F4	U+226F4	𢛴
uni226F5	U+226F5	𢛵
uni226F6	U+226F6	𢛶
uni22712	U+22712	𢜒
uni22714	U+22714	𢜔
uni2271B	U+2271B	𢜛
uni2271F	U+2271F	𢜟
uni2272A	U+2272A	𢜪
uni22775	U+22775	𢝵
uni22781	U+22781	𢞁
uni22796	U+22796	𢞖
uni227B4	U+227B4	𢞴
uni227B5	U+227B5	𢞵
uni227CD	U+227CD	𢟍
uni22803	U+22803	𢠃
uni2285B	U+2285B	𢡛
uni2285F	U+2285F	𢡟
uni22860	U+22860	𢡠
uni22871	U+22871	𢡱
uni228AB	U+228AB	𢢫
uni228AD	U+228AD	𢢭
uni228C1	U+228C1	𢣁
uni228F7	U+228F7	𢣷
uni22926	U+22926	𢤦
uni22939	U+22939	𢤹
uni2294F	U+2294F	𢥏
uni22967	U+22967	𢥧
uni2296B	U+2296B	𢥫
uni22980	U+22980	𢦀
uni2298F	U+2298F	𢦏
uni22993	U+22993	𢦓
uni22A66	U+22A66	𢩦
uni22AB8	U+22AB8	𢪸
uni22ACF	U+22ACF	𢫏
uni22AD5	U+22AD5	𢫕
uni22AE6	U+22AE6	𢫦
uni22AE8	U+22AE8	𢫨
uni22B0E	U+22B0E	𢬎
uni22B22	U+22B22	𢬢
uni22B3F	U+22B3F	𢬿
uni22B43	U+22B43	𢭃
uni22B46	U+22B46	𢭆
uni22B4F	U+22B4F	𢭏
uni22B50	U+22B50	𢭐
uni22B6A	U+22B6A	𢭪
uni22BA6	U+22BA6	𢮦
uni22BCA	U+22BCA	𢯊
uni22BCE	U+22BCE	𢯎
uni22C1D	U+22C1D	𢰝
uni22C24	U+22C24	𢰤
uni22C26	U+22C26	𢰦
uni22C27	U+22C27	𢰧
uni22C38	U+22C38	𢰸
uni22C4C	U+22C4C	𢱌
uni22C51	U+22C51	𢱑
uni22C55	U+22C55	𢱕
uni22C62	U+22C62	𢱢
uni22C6F	U+22C6F	𢱯
uni22C88	U+22C88	𢲈
uni22C9B	U+22C9B	𢲛
uni22CA1	U+22CA1	𢲡
uni22CA9	U+22CA9	𢲩
uni22CB2	U+22CB2	𢲲
uni22CB7	U+22CB7	𢲷
uni22CC2	U+22CC2	𢳂
uni22CC6	U+22CC6	𢳆
uni22CC9	U+22CC9	𢳉
uni22D07	U+22D07	𢴇
uni22D08	U+22D08	𢴈
uni22D12	U+22D12	𢴒
uni22D44	U+22D44	𢵄
uni22D4C	U+22D4C	𢵌
uni22D67	U+22D67	𢵧
uni22D8D	U+22D8D	𢶍
uni22D95	U+22D95	𢶕
uni22DA0	U+22DA0	𢶠
uni22DA3	U+22DA3	𢶣
uni22DA4	U+22DA4	𢶤
uni22DB7	U+22DB7	𢶷
uni22DE1	U+22DE1	𢷡
uni22DEE	U+22DEE	𢷮
uni22E0D	U+22E0D	𢸍
uni22E36	U+22E36	𢸶
uni22E42	U+22E42	𢹂
uni22E78	U+22E78	𢹸
uni22E8B	U+22E8B	𢺋
uni22EB3	U+22EB3	𢺳
uni22EE0	U+22EE0	𢻠
uni22EEF	U+22EEF	𢻯
uni22F74	U+22F74	𢽴
uni22FCC	U+22FCC	𢿌
uni22FE3	U+22FE3	𢿣
uni22FEB	U+22FEB	𢿫
uni23033	U+23033	𣀳
uni23044	U+23044	𣁄
uni2304B	U+2304B	𣁋
uni23066	U+23066	𣁦
uni2307D	U+2307D	𣁽
uni2307E	U+2307E	𣁾
uni2308E	U+2308E	𣂎
uni230B7	U+230B7	𣂷
uni230BC	U+230BC	𣂼
uni230DA	U+230DA	𣃚
uni230FD	U+230FD	𣃽
uni23103	U+23103	𣄃
uni2313D	U+2313D	𣄽
uni2317D	U+2317D	𣅽
uni23182	U+23182	𣆂
uni231A4	U+231A4	𣆤
uni231A5	U+231A5	𣆥
uni231B3	U+231B3	𣆳
uni231B6	U+231B6	𣆶
uni231C3	U+231C3	𣇃
uni231C4	U+231C4	𣇄
uni231C8	U+231C8	𣇈
uni231C9	U+231C9	𣇉
uni231EA	U+231EA	𣇪
uni231F5	U+231F5	𣇵
uni231F7	U+231F7	𣇷
uni231F8	U+231F8	𣇸
uni231F9	U+231F9	𣇹
uni2320F	U+2320F	𣈏
uni23225	U+23225	𣈥
uni2322F	U+2322F	𣈯
uni23231	U+23231	𣈱
uni23232	U+23232	𣈲
uni23233	U+23233	𣈳
uni23234	U+23234	𣈴
uni23256	U+23256	𣉖
uni2325E	U+2325E	𣉞
uni23262	U+23262	𣉢
uni23281	U+23281	𣊁
uni23289	U+23289	𣊉
uni2328A	U+2328A	𣊊
uni232AB	U+232AB	𣊫
uni232AC	U+232AC	𣊬
uni232AD	U+232AD	𣊭
uni232D2	U+232D2	𣋒
uni232E0	U+232E0	𣋠
uni232E1	U+232E1	𣋡
uni23300	U+23300	𣌀
uni2330A	U+2330A	𣌊
uni2331F	U+2331F	𣌟
uni23343	U+23343	𣍃
uni23372	U+23372	𣍲
uni233B4	U+233B4	𣎴
uni233CC	U+233CC	𣏌
uni233D0	U+233D0	𣏐
uni233D2	U+233D2	𣏒
uni233D3	U+233D3	𣏓
uni233D5	U+233D5	𣏕
uni233DA	U+233DA	𣏚
uni233DE	U+233DE	𣏞
uni233DF	U+233DF	𣏟
uni233E4	U+233E4	𣏤
uni233E6	U+233E6	𣏦
uni233F4	U+233F4	𣏴
uni233F5	U+233F5	𣏵
uni233F9	U+233F9	𣏹
uni233FA	U+233FA	𣏺
uni233FE	U+233FE	𣏾
uni23400	U+23400	𣐀
uni2343F	U+2343F	𣐿
uni2344A	U+2344A	𣑊
uni2344B	U+2344B	𣑋
uni23450	U+23450	𣑐
uni23451	U+23451	𣑑
uni23465	U+23465	𣑥
uni2346F	U+2346F	𣑯
uni23472	U+23472	𣑲
uni234E4	U+234E4	𣓤
uni234E5	U+234E5	𣓥
uni23519	U+23519	𣔙
uni23530	U+23530	𣔰
uni23551	U+23551	𣕑
uni2355A	U+2355A	𣕚
uni23567	U+23567	𣕧
uni23584	U+23584	𣖄
uni23594	U+23594	𣖔
uni23595	U+23595	𣖕
uni23599	U+23599	𣖙
uni2359C	U+2359C	𣖜
uni235BB	U+235BB	𣖻
uni235C4	U+235C4	𣗄
uni235CB	U+235CB	𣗋
uni235CD	U+235CD	𣗍
uni235CE	U+235CE	𣗎
uni235CF	U+235CF	𣗏
uni235F3	U+235F3	𣗳
uni23600	U+23600	𣘀
uni23617	U+23617	𣘗
uni2361A	U+2361A	𣘚
uni23638	U+23638	𣘸
uni23639	U+23639	𣘹
uni2363A	U+2363A	𣘺
uni2363B	U+2363B	𣘻
uni2363C	U+2363C	𣘼
uni23640	U+23640	𣙀
uni23647	U+23647	𣙇
uni23659	U+23659	𣙙
uni2365F	U+2365F	𣙟
uni23677	U+23677	𣙷
uni2368E	U+2368E	𣚎
uni2369E	U+2369E	𣚞
uni236A6	U+236A6	𣚦
uni236AD	U+236AD	𣚭
uni236BA	U+236BA	𣚺
uni236DF	U+236DF	𣛟
uni236EE	U+236EE	𣛮
uni23703	U+23703	𣜃
uni2370C	U+2370C	𣜌
uni23716	U+23716	𣜖
uni2371C	U+2371C	𣜜
uni23720	U+23720	𣜠
uni2372D	U+2372D	𣜭
uni2372F	U+2372F	𣜯
uni2373F	U+2373F	𣜿
uni23763	U+23763	𣝣
uni23764	U+23764	𣝤
uni23766	U+23766	𣝦
uni23781	U+23781	𣞁
uni237A2	U+237A2	𣞢
