uni7769	U+7769	睩
uni7872	U+7872	硲
uni7873	U+7873	硳
uni7874	U+7874	硴
uni7875	U+7875	硵
uni7876	U+7876	硶
uni7877	U+7877	硷
uni7878	U+7878	硸
uni7879	U+7879	硹
uni787A	U+787A	硺
uni787B	U+787B	硻
uni787C	U+787C	硼
uni787D	U+787D	硽
uni787E	U+787E	硾
uni787F	U+787F	硿
uni7880	U+7880	碀
uni7881	U+7881	碁
uni7882	U+7882	碂
uni7883	U+7883	碃
uni7884	U+7884	碄
uni7885	U+7885	碅
uni7886	U+7886	碆
uni7887	U+7887	碇
uni7888	U+7888	碈
uni7889	U+7889	碉
uni788A	U+788A	碊
uni788B	U+788B	碋
uni788C	U+788C	碌
uni788D	U+788D	碍
uni788E	U+788E	碎
uni788F	U+788F	碏
uni7890	U+7890	碐
uni7891	U+7891	碑
uni7892	U+7892	碒
uni7893	U+7893	碓
uni7894	U+7894	碔
uni7895	U+7895	碕
uni7896	U+7896	碖
uni7897	U+7897	碗
uni7898	U+7898	碘
uni7899	U+7899	碙
uni789A	U+789A	碚
uni789B	U+789B	碛
uni789C	U+789C	碜
uni789D	U+789D	碝
uni789E	U+789E	碞
uni789F	U+789F	碟
uni78A0	U+78A0	碠
uni78A1	U+78A1	碡
uni78A2	U+78A2	碢
uni78A3	U+78A3	碣
uni78A4	U+78A4	碤
uni78A5	U+78A5	碥
uni78A6	U+78A6	碦
uni78A7	U+78A7	碧
uni78A8	U+78A8	碨
uni78A9	U+78A9	碩
uni78AA	U+78AA	碪
uni78AB	U+78AB	碫
uni78AC	U+78AC	碬
uni78AD	U+78AD	碭
uni78AE	U+78AE	碮
uni78AF	U+78AF	碯
uni78B0	U+78B0	碰
uni78B1	U+78B1	碱
uni78B2	U+78B2	碲
uni78B3	U+78B3	碳
uni78B4	U+78B4	碴
uni78B5	U+78B5	碵
uni78B6	U+78B6	碶
uni78B7	U+78B7	碷
uni78B8	U+78B8	碸
uni78B9	U+78B9	碹
uni78BA	U+78BA	確
uni78BB	U+78BB	碻
uni78BC	U+78BC	碼
uni78BD	U+78BD	碽
uni78BE	U+78BE	碾
uni78BF	U+78BF	碿
uni78C0	U+78C0	磀
uni78C1	U+78C1	磁
uni78C2	U+78C2	磂
uni78C3	U+78C3	磃
uni78C4	U+78C4	磄
uni78C5	U+78C5	磅
uni78C6	U+78C6	磆
uni78C7	U+78C7	磇
uni78C8	U+78C8	磈
uni78C9	U+78C9	磉
uni78CA	U+78CA	磊
uni78CB	U+78CB	磋
uni78CC	U+78CC	磌
uni78CD	U+78CD	磍
uni78CE	U+78CE	磎
uni78CF	U+78CF	磏
uni78D0	U+78D0	磐
uni78D1	U+78D1	磑
uni78D2	U+78D2	磒
uni78D3	U+78D3	磓
uni78D4	U+78D4	磔
uni78D5	U+78D5	磕
uni78D6	U+78D6	磖
uni78D7	U+78D7	磗
uni78D8	U+78D8	磘
uni78D9	U+78D9	磙
uni78DA	U+78DA	磚
uni78DB	U+78DB	磛
uni78DC	U+78DC	磜
uni78DD	U+78DD	磝
uni78DE	U+78DE	磞
uni78DF	U+78DF	磟
uni78E0	U+78E0	磠
uni78E1	U+78E1	磡
uni78E2	U+78E2	磢
uni78E3	U+78E3	磣
uni78E4	U+78E4	磤
uni78E5	U+78E5	磥
uni78E6	U+78E6	磦
uni78E7	U+78E7	磧
uni78E8	U+78E8	磨
uni78E9	U+78E9	磩
uni78EA	U+78EA	磪
uni78EB	U+78EB	磫
uni78EC	U+78EC	磬
uni78ED	U+78ED	磭
uni78EE	U+78EE	磮
uni78EF	U+78EF	磯
uni78F0	U+78F0	磰
uni78F1	U+78F1	磱
uni78F2	U+78F2	磲
uni78F3	U+78F3	磳
uni78F4	U+78F4	磴
uni78F5	U+78F5	磵
uni78F6	U+78F6	磶
uni78F7	U+78F7	磷
uni78F8	U+78F8	磸
uni78F9	U+78F9	磹
uni78FA	U+78FA	磺
uni78FB	U+78FB	磻
uni78FC	U+78FC	磼
uni78FD	U+78FD	磽
uni78FE	U+78FE	磾
uni78FF	U+78FF	磿
uni7900	U+7900	礀
uni7901	U+7901	礁
uni7902	U+7902	礂
uni7903	U+7903	礃
uni7904	U+7904	礄
uni7905	U+7905	礅
uni7906	U+7906	礆
uni7907	U+7907	礇
uni7908	U+7908	礈
uni7909	U+7909	礉
uni790A	U+790A	礊
uni790B	U+790B	礋
uni790C	U+790C	礌
uni790D	U+790D	礍
uni790E	U+790E	礎
uni790F	U+790F	礏
uni7910	U+7910	礐
uni7911	U+7911	礑
uni7912	U+7912	礒
uni7913	U+7913	礓
uni7914	U+7914	礔
uni7915	U+7915	礕
uni7916	U+7916	礖
uni7917	U+7917	礗
uni7918	U+7918	礘
uni7919	U+7919	礙
uni791A	U+791A	礚
uni791B	U+791B	礛
uni791C	U+791C	礜
uni791D	U+791D	礝
uni791E	U+791E	礞
uni791F	U+791F	礟
uni7920	U+7920	礠
uni7921	U+7921	礡
uni7922	U+7922	礢
uni7923	U+7923	礣
uni7924	U+7924	礤
uni7925	U+7925	礥
uni7926	U+7926	礦
uni7927	U+7927	礧
uni7928	U+7928	礨
uni7929	U+7929	礩
uni792A	U+792A	礪
uni792B	U+792B	礫
uni792C	U+792C	礬
uni792D	U+792D	礭
uni792E	U+792E	礮
uni792F	U+792F	礯
uni7930	U+7930	礰
uni7931	U+7931	礱
uni7932	U+7932	礲
uni7933	U+7933	礳
uni7934	U+7934	礴
uni7935	U+7935	礵
uni7936	U+7936	礶
uni7937	U+7937	礷
uni7938	U+7938	礸
uni7939	U+7939	礹
uni793C	U+793C	礼
uni793D	U+793D	礽
uni793E	U+793E	社
uni793F	U+793F	礿
uni7940	U+7940	祀
uni7941	U+7941	祁
uni7942	U+7942	祂
uni7943	U+7943	祃
uni7944	U+7944	祄
uni7945	U+7945	祅
uni7946	U+7946	祆
uni7947	U+7947	祇
uni7948	U+7948	祈
uni7949	U+7949	祉
uni794A	U+794A	祊
uni794B	U+794B	祋
uni794C	U+794C	祌
uni794D	U+794D	祍
uni794E	U+794E	祎
uni794F	U+794F	祏
uni7950	U+7950	祐
uni7951	U+7951	祑
uni7952	U+7952	祒
uni7953	U+7953	祓
uni7954	U+7954	祔
uni7955	U+7955	祕
uni7956	U+7956	祖
uni7957	U+7957	祗
uni7958	U+7958	祘
uni7959	U+7959	祙
uni795A	U+795A	祚
uni795B	U+795B	祛
uni795C	U+795C	祜
uni795D	U+795D	祝
uni795E	U+795E	神
uni795F	U+795F	祟
uni7960	U+7960	祠
uni7961	U+7961	祡
uni7962	U+7962	祢
uni7963	U+7963	祣
uni7964	U+7964	祤
uni7965	U+7965	祥
uni7966	U+7966	祦
uni7967	U+7967	祧
uni7968	U+7968	票
uni7969	U+7969	祩
uni796A	U+796A	祪
uni796B	U+796B	祫
uni796C	U+796C	祬
uni796D	U+796D	祭
uni796E	U+796E	祮
uni796F	U+796F	祯
uni7970	U+7970	祰
uni7971	U+7971	祱
uni7972	U+7972	祲
uni7973	U+7973	祳
uni7974	U+7974	祴
uni7975	U+7975	祵
uni7976	U+7976	祶
uni7977	U+7977	祷
uni7978	U+7978	祸
uni7979	U+7979	祹
uni797A	U+797A	祺
uni797B	U+797B	祻
uni797C	U+797C	祼
uni797D	U+797D	祽
uni797E	U+797E	祾
uni797F	U+797F	祿
uni7980	U+7980	禀
uni7981	U+7981	禁
uni7982	U+7982	禂
uni7983	U+7983	禃
uni7984	U+7984	禄
uni7985	U+7985	禅
uni7986	U+7986	禆
uni7987	U+7987	禇
uni7988	U+7988	禈
uni7989	U+7989	禉
uni798A	U+798A	禊
uni798B	U+798B	禋
uni798C	U+798C	禌
uni798D	U+798D	禍
uni798E	U+798E	禎
uni798F	U+798F	福
uni7990	U+7990	禐
uni7991	U+7991	禑
uni7992	U+7992	禒
uni7993	U+7993	禓
uni7994	U+7994	禔
uni7995	U+7995	禕
uni7996	U+7996	禖
uni7997	U+7997	禗
uni7998	U+7998	禘
uni7999	U+7999	禙
uni799A	U+799A	禚
uni799B	U+799B	禛
uni799C	U+799C	禜
uni799D	U+799D	禝
uni799E	U+799E	禞
uni799F	U+799F	禟
uni79A0	U+79A0	禠
uni79A1	U+79A1	禡
uni79A2	U+79A2	禢
uni79A3	U+79A3	禣
uni79A4	U+79A4	禤
uni79A5	U+79A5	禥
uni79A6	U+79A6	禦
uni79A7	U+79A7	禧
uni79A8	U+79A8	禨
uni79A9	U+79A9	禩
uni79AA	U+79AA	禪
uni79AB	U+79AB	禫
uni79AC	U+79AC	禬
uni79AD	U+79AD	禭
uni79AE	U+79AE	禮
uni79AF	U+79AF	禯
uni79B0	U+79B0	禰
uni79B1	U+79B1	禱
uni79B2	U+79B2	禲
uni79B3	U+79B3	禳
uni79B4	U+79B4	禴
uni79B5	U+79B5	禵
uni79B6	U+79B6	禶
uni79B7	U+79B7	禷
uni79B9	U+79B9	禹
uni79BA	U+79BA	禺
uni79BB	U+79BB	离
uni79BC	U+79BC	禼
uni79BD	U+79BD	禽
uni79BF	U+79BF	禿
uni79C0	U+79C0	秀
uni79C1	U+79C1	私
uni79C2	U+79C2	秂
uni79C3	U+79C3	秃
uni79C4	U+79C4	秄
uni79C5	U+79C5	秅
uni79C6	U+79C6	秆
uni79C7	U+79C7	秇
uni79C8	U+79C8	秈
uni79C9	U+79C9	秉
uni79CA	U+79CA	秊
uni79CB	U+79CB	秋
uni79CC	U+79CC	秌
uni79CD	U+79CD	种
uni79CE	U+79CE	秎
uni79CF	U+79CF	秏
uni79D0	U+79D0	秐
uni79D1	U+79D1	科
uni79D2	U+79D2	秒
uni79D3	U+79D3	秓
uni79D4	U+79D4	秔
uni79D5	U+79D5	秕
uni79D6	U+79D6	秖
uni79D7	U+79D7	秗
uni79D8	U+79D8	秘
uni79D9	U+79D9	秙
uni79DA	U+79DA	秚
uni79DB	U+79DB	秛
uni79DC	U+79DC	秜
uni79DD	U+79DD	秝
uni79DE	U+79DE	秞
uni79DF	U+79DF	租
uni79E0	U+79E0	秠
uni79E1	U+79E1	秡
uni79E2	U+79E2	秢
uni79E3	U+79E3	秣
uni79E4	U+79E4	秤
uni79E5	U+79E5	秥
uni79E6	U+79E6	秦
uni79E7	U+79E7	秧
uni79E8	U+79E8	秨
uni79E9	U+79E9	秩
uni79EA	U+79EA	秪
uni79EB	U+79EB	秫
uni79EC	U+79EC	秬
uni79ED	U+79ED	秭
uni79EE	U+79EE	秮
uni79EF	U+79EF	积
uni79F0	U+79F0	称
uni79F1	U+79F1	秱
uni79F2	U+79F2	秲
uni79F3	U+79F3	秳
uni79F4	U+79F4	秴
uni79F5	U+79F5	秵
uni79F6	U+79F6	秶
uni79F7	U+79F7	秷
uni79F8	U+79F8	秸
uni79F9	U+79F9	秹
uni79FA	U+79FA	秺
uni79FB	U+79FB	移
uni79FC	U+79FC	秼
uni79FD	U+79FD	秽
uni79FE	U+79FE	秾
uni79FF	U+79FF	秿
uni7A00	U+7A00	稀
uni7A01	U+7A01	稁
uni7A02	U+7A02	稂
uni7A03	U+7A03	稃
uni7A04	U+7A04	稄
uni7A05	U+7A05	稅
uni7A06	U+7A06	稆
uni7A07	U+7A07	稇
uni7A08	U+7A08	稈
uni7A09	U+7A09	稉
uni7A0A	U+7A0A	稊
uni7A0B	U+7A0B	程
uni7A0C	U+7A0C	稌
uni7A0D	U+7A0D	稍
uni7A0E	U+7A0E	税
uni7A0F	U+7A0F	稏
uni7A10	U+7A10	稐
uni7A11	U+7A11	稑
uni7A12	U+7A12	稒
uni7A13	U+7A13	稓
uni7A14	U+7A14	稔
uni7A15	U+7A15	稕
uni7A16	U+7A16	稖
uni7A17	U+7A17	稗
uni7A18	U+7A18	稘
uni7A19	U+7A19	稙
uni7A1A	U+7A1A	稚
uni7A1B	U+7A1B	稛
uni7A1C	U+7A1C	稜
uni7A1D	U+7A1D	稝
uni7A1E	U+7A1E	稞
uni7A1F	U+7A1F	稟
uni7A20	U+7A20	稠
uni7A21	U+7A21	稡
uni7A22	U+7A22	稢
uni7A23	U+7A23	稣
uni7A24	U+7A24	稤
uni7A25	U+7A25	稥
uni7A26	U+7A26	稦
uni7A27	U+7A27	稧
uni7A28	U+7A28	稨
uni7A29	U+7A29	稩
uni7A2A	U+7A2A	稪
uni7A2B	U+7A2B	稫
uni7A2C	U+7A2C	稬
uni7A2D	U+7A2D	稭
uni7A2E	U+7A2E	種
uni7A2F	U+7A2F	稯
uni7A30	U+7A30	稰
uni7A31	U+7A31	稱
uni7A32	U+7A32	稲
uni7A33	U+7A33	稳
uni7A34	U+7A34	稴
uni7A35	U+7A35	稵
uni7A36	U+7A36	稶
uni7A37	U+7A37	稷
uni7A38	U+7A38	稸
uni7A39	U+7A39	稹
uni7A3A	U+7A3A	稺
uni7A3B	U+7A3B	稻
uni7A3C	U+7A3C	稼
uni7A3D	U+7A3D	稽
uni7A3E	U+7A3E	稾
uni7A3F	U+7A3F	稿
uni7A40	U+7A40	穀
uni7A41	U+7A41	穁
uni7A42	U+7A42	穂
uni7A43	U+7A43	穃
uni7A44	U+7A44	穄
uni7A45	U+7A45	穅
uni7A46	U+7A46	穆
uni7A47	U+7A47	穇
uni7A48	U+7A48	穈
uni7A49	U+7A49	穉
uni7A4A	U+7A4A	穊
uni7A4B	U+7A4B	穋
uni7A4C	U+7A4C	穌
uni7A4D	U+7A4D	積
uni7A4E	U+7A4E	穎
uni7A4F	U+7A4F	穏
uni7A50	U+7A50	穐
uni7A51	U+7A51	穑
uni7A52	U+7A52	穒
uni7A53	U+7A53	穓
uni7A54	U+7A54	穔
uni7A55	U+7A55	穕
uni7A56	U+7A56	穖
uni7A57	U+7A57	穗
uni7A58	U+7A58	穘
uni7A59	U+7A59	穙
uni7A5A	U+7A5A	穚
uni7A5B	U+7A5B	穛
uni7A5C	U+7A5C	穜
uni7A5D	U+7A5D	穝
uni7A5E	U+7A5E	穞
uni7A5F	U+7A5F	穟
uni7A60	U+7A60	穠
uni7A61	U+7A61	穡
uni7A62	U+7A62	穢
uni7A63	U+7A63	穣
uni7A64	U+7A64	穤
uni7A65	U+7A65	穥
uni7A66	U+7A66	穦
uni7A67	U+7A67	穧
uni7A68	U+7A68	穨
uni7A69	U+7A69	穩
uni7A6A	U+7A6A	穪
uni7A6B	U+7A6B	穫
uni7A6C	U+7A6C	穬
uni7A6D	U+7A6D	穭
uni7A6E	U+7A6E	穮
uni7A6F	U+7A6F	穯
uni7A70	U+7A70	穰
uni7A71	U+7A71	穱
uni7A72	U+7A72	穲
uni7A73	U+7A73	穳
uni7A75	U+7A75	穵
uni7A76	U+7A76	究
uni7A77	U+7A77	穷
uni7A78	U+7A78	穸
uni7A79	U+7A79	穹
uni7A7A	U+7A7A	空
uni7A7B	U+7A7B	穻
uni7A7C	U+7A7C	穼
uni7A7D	U+7A7D	穽
uni7A7E	U+7A7E	穾
uni7A7F	U+7A7F	穿
uni7A80	U+7A80	窀
uni7A81	U+7A81	突
uni7A82	U+7A82	窂
uni7A83	U+7A83	窃
uni7A84	U+7A84	窄
uni7A85	U+7A85	窅
uni7A86	U+7A86	窆
uni7A87	U+7A87	窇
uni7A88	U+7A88	窈
uni7A89	U+7A89	窉
uni7A8A	U+7A8A	窊
uni7A8B	U+7A8B	窋
uni7A8C	U+7A8C	窌
uni7A8D	U+7A8D	窍
uni7A8E	U+7A8E	窎
uni7A8F	U+7A8F	窏
uni7A90	U+7A90	窐
uni7A91	U+7A91	窑
uni7A92	U+7A92	窒
uni7A93	U+7A93	窓
uni7A94	U+7A94	窔
uni7A95	U+7A95	窕
uni7A96	U+7A96	窖
uni7A97	U+7A97	窗
uni7A98	U+7A98	窘
uni7A99	U+7A99	窙
uni7A9A	U+7A9A	窚
uni7A9B	U+7A9B	窛
uni7A9C	U+7A9C	窜
uni7A9D	U+7A9D	窝
uni7A9E	U+7A9E	窞
uni7A9F	U+7A9F	窟
uni7AA0	U+7AA0	窠
uni7AA1	U+7AA1	窡
uni7AA2	U+7AA2	窢
uni7AA3	U+7AA3	窣
uni7AA4	U+7AA4	窤
uni7AA5	U+7AA5	窥
uni7AA6	U+7AA6	窦
uni7AA7	U+7AA7	窧
uni7AA8	U+7AA8	窨
uni7AA9	U+7AA9	窩
uni7AAA	U+7AAA	窪
uni7AAB	U+7AAB	窫
uni7AAC	U+7AAC	窬
uni7AAD	U+7AAD	窭
uni7AAE	U+7AAE	窮
uni7AAF	U+7AAF	窯
uni7AB0	U+7AB0	窰
uni7AB1	U+7AB1	窱
uni7AB2	U+7AB2	窲
uni7AB3	U+7AB3	窳
uni7AB4	U+7AB4	窴
uni7AB5	U+7AB5	窵
uni7AB6	U+7AB6	窶
uni7AB7	U+7AB7	窷
uni7AB8	U+7AB8	窸
uni7AB9	U+7AB9	窹
uni7ABA	U+7ABA	窺
uni7ABB	U+7ABB	窻
uni7ABC	U+7ABC	窼
uni7ABD	U+7ABD	窽
uni7ABE	U+7ABE	窾
uni7ABF	U+7ABF	窿
uni7AC0	U+7AC0	竀
uni7AC1	U+7AC1	竁
uni7AC2	U+7AC2	竂
uni7AC3	U+7AC3	竃
uni7AC4	U+7AC4	竄
uni7AC5	U+7AC5	竅
uni7AC6	U+7AC6	竆
uni7AC7	U+7AC7	竇
uni7AC8	U+7AC8	竈
uni7AC9	U+7AC9	竉
uni7ACA	U+7ACA	竊
uni7ACC	U+7ACC	竌
uni7ACD	U+7ACD	竍
uni7ACE	U+7ACE	竎
uni7ACF	U+7ACF	竏
uni7AD0	U+7AD0	竐
uni7AD1	U+7AD1	竑
uni7AD2	U+7AD2	竒
uni7AD3	U+7AD3	竓
uni7AD4	U+7AD4	竔
uni7AD5	U+7AD5	竕
uni7AD6	U+7AD6	竖
uni7AD7	U+7AD7	竗
uni7AD8	U+7AD8	竘
uni7AD9	U+7AD9	站
uni7ADA	U+7ADA	竚
uni7ADB	U+7ADB	竛
uni7ADD	U+7ADD	竝
uni7ADE	U+7ADE	竞
uni7ADF	U+7ADF	竟
uni7AE0	U+7AE0	章
uni7AE1	U+7AE1	竡
uni7AE2	U+7AE2	竢
uni7AE3	U+7AE3	竣
uni7AE4	U+7AE4	竤
uni7AE5	U+7AE5	童
uni7AE6	U+7AE6	竦
uni7AE7	U+7AE7	竧
uni7AE8	U+7AE8	竨
uni7AE9	U+7AE9	竩
uni7AEA	U+7AEA	竪
uni7AEB	U+7AEB	竫
uni7AEC	U+7AEC	竬
uni7AED	U+7AED	竭
uni7AEE	U+7AEE	竮
uni7AEF	U+7AEF	端
uni7AF0	U+7AF0	竰
uni7AF1	U+7AF1	竱
uni7AF2	U+7AF2	竲
uni7AF3	U+7AF3	竳
uni7AF4	U+7AF4	竴
uni7AF5	U+7AF5	竵
uni7AF6	U+7AF6	競
uni7AF7	U+7AF7	竷
uni7AF8	U+7AF8	竸
uni7AFA	U+7AFA	竺
uni7AFB	U+7AFB	竻
uni7AFC	U+7AFC	竼
uni7AFD	U+7AFD	竽
uni7AFE	U+7AFE	竾
uni7AFF	U+7AFF	竿
uni7B00	U+7B00	笀
uni7B01	U+7B01	笁
uni7B02	U+7B02	笂
uni7B03	U+7B03	笃
uni7B04	U+7B04	笄
uni7B05	U+7B05	笅
uni7B06	U+7B06	笆
uni7B07	U+7B07	笇
uni7B08	U+7B08	笈
uni7B09	U+7B09	笉
uni7B0A	U+7B0A	笊
uni7B0B	U+7B0B	笋
uni7B0C	U+7B0C	笌
uni7B0D	U+7B0D	笍
uni7B0E	U+7B0E	笎
uni7B0F	U+7B0F	笏
uni7B10	U+7B10	笐
uni7B11	U+7B11	笑
uni7B12	U+7B12	笒
uni7B13	U+7B13	笓
uni7B14	U+7B14	笔
uni7B15	U+7B15	笕
uni7B16	U+7B16	笖
uni7B17	U+7B17	笗
uni7B18	U+7B18	笘
uni7B19	U+7B19	笙
uni7B1A	U+7B1A	笚
uni7B1B	U+7B1B	笛
uni7B1C	U+7B1C	笜
uni7B1D	U+7B1D	笝
uni7B1E	U+7B1E	笞
uni7B1F	U+7B1F	笟
uni7B20	U+7B20	笠
uni7B21	U+7B21	笡
uni7B22	U+7B22	笢
uni7B23	U+7B23	笣
uni7B24	U+7B24	笤
uni7B25	U+7B25	笥
uni7B26	U+7B26	符
uni7B27	U+7B27	笧
uni7B28	U+7B28	笨
uni7B29	U+7B29	笩
uni7B2A	U+7B2A	笪
uni7B2B	U+7B2B	笫
uni7B2C	U+7B2C	第
uni7B2D	U+7B2D	笭
uni7B2E	U+7B2E	笮
uni7B2F	U+7B2F	笯
uni7B30	U+7B30	笰
