uni6F4F	U+6F4F	潏
uni7060	U+7060	灠
uni7061	U+7061	灡
uni7062	U+7062	灢
uni7063	U+7063	灣
uni7064	U+7064	灤
uni7065	U+7065	灥
uni7066	U+7066	灦
uni7067	U+7067	灧
uni7068	U+7068	灨
uni7069	U+7069	灩
uni706A	U+706A	灪
uni706D	U+706D	灭
uni706E	U+706E	灮
uni706F	U+706F	灯
uni7070	U+7070	灰
uni7071	U+7071	灱
uni7072	U+7072	灲
uni7073	U+7073	灳
uni7074	U+7074	灴
uni7075	U+7075	灵
uni7076	U+7076	灶
uni7077	U+7077	灷
uni7078	U+7078	灸
uni7079	U+7079	灹
uni707A	U+707A	灺
uni707B	U+707B	灻
uni707C	U+707C	灼
uni707D	U+707D	災
uni707E	U+707E	灾
uni707F	U+707F	灿
uni7080	U+7080	炀
uni7081	U+7081	炁
uni7082	U+7082	炂
uni7083	U+7083	炃
uni7084	U+7084	炄
uni7085	U+7085	炅
uni7086	U+7086	炆
uni7087	U+7087	炇
uni7088	U+7088	炈
uni7089	U+7089	炉
uni708A	U+708A	炊
uni708B	U+708B	炋
uni708C	U+708C	炌
uni708D	U+708D	炍
uni708E	U+708E	炎
uni708F	U+708F	炏
uni7090	U+7090	炐
uni7091	U+7091	炑
uni7092	U+7092	炒
uni7093	U+7093	炓
uni7094	U+7094	炔
uni7095	U+7095	炕
uni7096	U+7096	炖
uni7097	U+7097	炗
uni7098	U+7098	炘
uni7099	U+7099	炙
uni709A	U+709A	炚
uni709B	U+709B	炛
uni709C	U+709C	炜
uni709D	U+709D	炝
uni709E	U+709E	炞
uni709F	U+709F	炟
uni70A0	U+70A0	炠
uni70A1	U+70A1	炡
uni70A2	U+70A2	炢
uni70A3	U+70A3	炣
uni70A4	U+70A4	炤
uni70A5	U+70A5	炥
uni70A6	U+70A6	炦
uni70A7	U+70A7	炧
uni70A8	U+70A8	炨
uni70A9	U+70A9	炩
uni70AA	U+70AA	炪
uni70AB	U+70AB	炫
uni70AC	U+70AC	炬
uni70AD	U+70AD	炭
uni70AE	U+70AE	炮
uni70AF	U+70AF	炯
uni70B0	U+70B0	炰
uni70B1	U+70B1	炱
uni70B2	U+70B2	炲
uni70B3	U+70B3	炳
uni70B4	U+70B4	炴
uni70B5	U+70B5	炵
uni70B6	U+70B6	炶
uni70B7	U+70B7	炷
uni70B8	U+70B8	炸
uni70B9	U+70B9	点
uni70BA	U+70BA	為
uni70BB	U+70BB	炻
uni70BC	U+70BC	炼
uni70BD	U+70BD	炽
uni70BE	U+70BE	炾
uni70BF	U+70BF	炿
uni70C0	U+70C0	烀
uni70C1	U+70C1	烁
uni70C2	U+70C2	烂
uni70C3	U+70C3	烃
uni70C4	U+70C4	烄
uni70C5	U+70C5	烅
uni70C6	U+70C6	烆
uni70C7	U+70C7	烇
uni70C8	U+70C8	烈
uni70C9	U+70C9	烉
uni70CA	U+70CA	烊
uni70CB	U+70CB	烋
uni70CC	U+70CC	烌
uni70CD	U+70CD	烍
uni70CE	U+70CE	烎
uni70CF	U+70CF	烏
uni70D0	U+70D0	烐
uni70D1	U+70D1	烑
uni70D2	U+70D2	烒
uni70D3	U+70D3	烓
uni70D4	U+70D4	烔
uni70D5	U+70D5	烕
uni70D6	U+70D6	烖
uni70D7	U+70D7	烗
uni70D8	U+70D8	烘
uni70D9	U+70D9	烙
uni70DA	U+70DA	烚
uni70DB	U+70DB	烛
uni70DC	U+70DC	烜
uni70DD	U+70DD	烝
uni70DE	U+70DE	烞
uni70DF	U+70DF	烟
uni70E0	U+70E0	烠
uni70E1	U+70E1	烡
uni70E2	U+70E2	烢
uni70E3	U+70E3	烣
uni70E4	U+70E4	烤
uni70E5	U+70E5	烥
uni70E6	U+70E6	烦
uni70E7	U+70E7	烧
uni70E8	U+70E8	烨
uni70E9	U+70E9	烩
uni70EA	U+70EA	烪
uni70EB	U+70EB	烫
uni70EC	U+70EC	烬
uni70ED	U+70ED	热
uni70EE	U+70EE	烮
uni70EF	U+70EF	烯
uni70F0	U+70F0	烰
uni70F1	U+70F1	烱
uni70F2	U+70F2	烲
uni70F3	U+70F3	烳
uni70F4	U+70F4	烴
uni70F5	U+70F5	烵
uni70F6	U+70F6	烶
uni70F7	U+70F7	烷
uni70F8	U+70F8	烸
uni70F9	U+70F9	烹
uni70FA	U+70FA	烺
uni70FB	U+70FB	烻
uni70FC	U+70FC	烼
uni70FD	U+70FD	烽
uni70FE	U+70FE	烾
uni70FF	U+70FF	烿
uni7100	U+7100	焀
uni7101	U+7101	焁
uni7102	U+7102	焂
uni7103	U+7103	焃
uni7104	U+7104	焄
uni7105	U+7105	焅
uni7106	U+7106	焆
uni7107	U+7107	焇
uni7108	U+7108	焈
uni7109	U+7109	焉
uni710A	U+710A	焊
uni710B	U+710B	焋
uni710C	U+710C	焌
uni710D	U+710D	焍
uni710E	U+710E	焎
uni710F	U+710F	焏
uni7110	U+7110	焐
uni7111	U+7111	焑
uni7112	U+7112	焒
uni7113	U+7113	焓
uni7114	U+7114	焔
uni7115	U+7115	焕
uni7116	U+7116	焖
uni7117	U+7117	焗
uni7118	U+7118	焘
uni7119	U+7119	焙
uni711A	U+711A	焚
uni711B	U+711B	焛
uni711C	U+711C	焜
uni711D	U+711D	焝
uni711E	U+711E	焞
uni711F	U+711F	焟
uni7120	U+7120	焠
uni7121	U+7121	無
uni7122	U+7122	焢
uni7123	U+7123	焣
uni7124	U+7124	焤
uni7125	U+7125	焥
uni7126	U+7126	焦
uni7127	U+7127	焧
uni7128	U+7128	焨
uni7129	U+7129	焩
uni712A	U+712A	焪
uni712B	U+712B	焫
uni712C	U+712C	焬
uni712D	U+712D	焭
uni712E	U+712E	焮
uni712F	U+712F	焯
uni7130	U+7130	焰
uni7131	U+7131	焱
uni7132	U+7132	焲
uni7133	U+7133	焳
uni7134	U+7134	焴
uni7135	U+7135	焵
uni7136	U+7136	然
uni7137	U+7137	焷
uni7138	U+7138	焸
uni7139	U+7139	焹
uni713A	U+713A	焺
uni713B	U+713B	焻
uni713C	U+713C	焼
uni713D	U+713D	焽
uni713E	U+713E	焾
uni713F	U+713F	焿
uni7140	U+7140	煀
uni7141	U+7141	煁
uni7142	U+7142	煂
uni7143	U+7143	煃
uni7144	U+7144	煄
uni7145	U+7145	煅
uni7146	U+7146	煆
uni7147	U+7147	煇
uni7148	U+7148	煈
uni7149	U+7149	煉
uni714A	U+714A	煊
uni714B	U+714B	煋
uni714C	U+714C	煌
uni714D	U+714D	煍
uni714E	U+714E	煎
uni714F	U+714F	煏
uni7150	U+7150	煐
uni7151	U+7151	煑
uni7152	U+7152	煒
uni7153	U+7153	煓
uni7154	U+7154	煔
uni7155	U+7155	煕
uni7156	U+7156	煖
uni7157	U+7157	煗
uni7158	U+7158	煘
uni7159	U+7159	煙
uni715A	U+715A	煚
uni715B	U+715B	煛
uni715C	U+715C	煜
uni715D	U+715D	煝
uni715E	U+715E	煞
uni715F	U+715F	煟
uni7160	U+7160	煠
uni7161	U+7161	煡
uni7162	U+7162	煢
uni7163	U+7163	煣
uni7164	U+7164	煤
uni7165	U+7165	煥
uni7166	U+7166	煦
uni7167	U+7167	照
uni7168	U+7168	煨
uni7169	U+7169	煩
uni716A	U+716A	煪
uni716B	U+716B	煫
uni716C	U+716C	煬
uni716D	U+716D	煭
uni716E	U+716E	煮
uni716F	U+716F	煯
uni7170	U+7170	煰
uni7171	U+7171	煱
uni7172	U+7172	煲
uni7173	U+7173	煳
uni7174	U+7174	煴
uni7175	U+7175	煵
uni7176	U+7176	煶
uni7177	U+7177	煷
uni7178	U+7178	煸
uni7179	U+7179	煹
uni717A	U+717A	煺
uni717B	U+717B	煻
uni717C	U+717C	煼
uni717D	U+717D	煽
uni717E	U+717E	煾
uni717F	U+717F	煿
uni7180	U+7180	熀
uni7181	U+7181	熁
uni7182	U+7182	熂
uni7183	U+7183	熃
uni7184	U+7184	熄
uni7185	U+7185	熅
uni7186	U+7186	熆
uni7187	U+7187	熇
uni7188	U+7188	熈
uni7189	U+7189	熉
uni718A	U+718A	熊
uni718B	U+718B	熋
uni718C	U+718C	熌
uni718D	U+718D	熍
uni718E	U+718E	熎
uni718F	U+718F	熏
uni7190	U+7190	熐
uni7191	U+7191	熑
uni7192	U+7192	熒
uni7193	U+7193	熓
uni7194	U+7194	熔
uni7195	U+7195	熕
uni7196	U+7196	熖
uni7197	U+7197	熗
uni7198	U+7198	熘
uni7199	U+7199	熙
uni719A	U+719A	熚
uni719B	U+719B	熛
uni719C	U+719C	熜
uni719D	U+719D	熝
uni719E	U+719E	熞
uni719F	U+719F	熟
uni71A0	U+71A0	熠
uni71A1	U+71A1	熡
uni71A2	U+71A2	熢
uni71A3	U+71A3	熣
uni71A4	U+71A4	熤
uni71A5	U+71A5	熥
uni71A6	U+71A6	熦
uni71A7	U+71A7	熧
uni71A8	U+71A8	熨
uni71A9	U+71A9	熩
uni71AA	U+71AA	熪
uni71AB	U+71AB	熫
uni71AC	U+71AC	熬
uni71AD	U+71AD	熭
uni71AE	U+71AE	熮
uni71AF	U+71AF	熯
uni71B0	U+71B0	熰
uni71B1	U+71B1	熱
uni71B2	U+71B2	熲
uni71B3	U+71B3	熳
uni71B4	U+71B4	熴
uni71B5	U+71B5	熵
uni71B6	U+71B6	熶
uni71B7	U+71B7	熷
uni71B8	U+71B8	熸
uni71B9	U+71B9	熹
uni71BA	U+71BA	熺
uni71BB	U+71BB	熻
uni71BC	U+71BC	熼
uni71BD	U+71BD	熽
uni71BE	U+71BE	熾
uni71BF	U+71BF	熿
uni71C0	U+71C0	燀
uni71C1	U+71C1	燁
uni71C2	U+71C2	燂
uni71C3	U+71C3	燃
uni71C4	U+71C4	燄
uni71C5	U+71C5	燅
uni71C6	U+71C6	燆
uni71C7	U+71C7	燇
uni71C8	U+71C8	燈
uni71C9	U+71C9	燉
uni71CA	U+71CA	燊
uni71CB	U+71CB	燋
uni71CC	U+71CC	燌
uni71CD	U+71CD	燍
uni71CE	U+71CE	燎
uni71CF	U+71CF	燏
uni71D0	U+71D0	燐
uni71D1	U+71D1	燑
uni71D2	U+71D2	燒
uni71D3	U+71D3	燓
uni71D4	U+71D4	燔
uni71D5	U+71D5	燕
uni71D6	U+71D6	燖
uni71D7	U+71D7	燗
uni71D8	U+71D8	燘
uni71D9	U+71D9	燙
uni71DA	U+71DA	燚
uni71DB	U+71DB	燛
uni71DC	U+71DC	燜
uni71DD	U+71DD	燝
uni71DE	U+71DE	燞
uni71DF	U+71DF	營
uni71E0	U+71E0	燠
uni71E1	U+71E1	燡
uni71E2	U+71E2	燢
uni71E3	U+71E3	燣
uni71E4	U+71E4	燤
uni71E5	U+71E5	燥
uni71E6	U+71E6	燦
uni71E7	U+71E7	燧
uni71E8	U+71E8	燨
uni71E9	U+71E9	燩
uni71EA	U+71EA	燪
uni71EB	U+71EB	燫
uni71EC	U+71EC	燬
uni71ED	U+71ED	燭
uni71EE	U+71EE	燮
uni71EF	U+71EF	燯
uni71F0	U+71F0	燰
uni71F1	U+71F1	燱
uni71F2	U+71F2	燲
uni71F3	U+71F3	燳
uni71F4	U+71F4	燴
uni71F5	U+71F5	燵
uni71F6	U+71F6	燶
uni71F7	U+71F7	燷
uni71F8	U+71F8	燸
uni71F9	U+71F9	燹
uni71FA	U+71FA	燺
uni71FB	U+71FB	燻
uni71FC	U+71FC	燼
uni71FD	U+71FD	燽
uni71FE	U+71FE	燾
uni71FF	U+71FF	燿
uni7200	U+7200	爀
uni7201	U+7201	爁
uni7202	U+7202	爂
uni7203	U+7203	爃
uni7204	U+7204	爄
uni7205	U+7205	爅
uni7206	U+7206	爆
uni7207	U+7207	爇
uni7208	U+7208	爈
uni7209	U+7209	爉
uni720A	U+720A	爊
uni720B	U+720B	爋
uni720C	U+720C	爌
uni720D	U+720D	爍
uni720E	U+720E	爎
uni720F	U+720F	爏
uni7210	U+7210	爐
uni7211	U+7211	爑
uni7212	U+7212	爒
uni7213	U+7213	爓
uni7214	U+7214	爔
uni7215	U+7215	爕
uni7216	U+7216	爖
uni7217	U+7217	爗
uni7218	U+7218	爘
uni7219	U+7219	爙
uni721A	U+721A	爚
uni721B	U+721B	爛
uni721C	U+721C	爜
uni721D	U+721D	爝
uni721E	U+721E	爞
uni721F	U+721F	爟
uni7220	U+7220	爠
uni7221	U+7221	爡
uni7222	U+7222	爢
uni7223	U+7223	爣
uni7224	U+7224	爤
uni7225	U+7225	爥
uni7226	U+7226	爦
uni7227	U+7227	爧
uni7228	U+7228	爨
uni7229	U+7229	爩
uni722B	U+722B	爫
uni722C	U+722C	爬
uni722D	U+722D	爭
uni722E	U+722E	爮
uni722F	U+722F	爯
uni7230	U+7230	爰
uni7231	U+7231	爱
uni7232	U+7232	爲
uni7233	U+7233	爳
uni7234	U+7234	爴
uni7235	U+7235	爵
uni7237	U+7237	爷
uni7238	U+7238	爸
uni7239	U+7239	爹
uni723A	U+723A	爺
uni723C	U+723C	爼
uni723D	U+723D	爽
uni723E	U+723E	爾
uni7240	U+7240	牀
uni7241	U+7241	牁
uni7242	U+7242	牂
uni7243	U+7243	牃
uni7244	U+7244	牄
uni7245	U+7245	牅
uni7246	U+7246	牆
uni7248	U+7248	版
uni7249	U+7249	牉
uni724A	U+724A	牊
uni724B	U+724B	牋
uni724C	U+724C	牌
uni724D	U+724D	牍
uni724E	U+724E	牎
uni724F	U+724F	牏
uni7250	U+7250	牐
uni7251	U+7251	牑
uni7252	U+7252	牒
uni7253	U+7253	牓
uni7254	U+7254	牔
uni7255	U+7255	牕
uni7256	U+7256	牖
uni7257	U+7257	牗
uni7258	U+7258	牘
uni725A	U+725A	牚
uni725C	U+725C	牜
uni725D	U+725D	牝
uni725E	U+725E	牞
uni725F	U+725F	牟
uni7260	U+7260	牠
uni7261	U+7261	牡
uni7262	U+7262	牢
uni7263	U+7263	牣
uni7264	U+7264	牤
uni7265	U+7265	牥
uni7266	U+7266	牦
uni7267	U+7267	牧
uni7268	U+7268	牨
uni7269	U+7269	物
uni726A	U+726A	牪
uni726B	U+726B	牫
uni726C	U+726C	牬
uni726D	U+726D	牭
uni726E	U+726E	牮
uni726F	U+726F	牯
uni7270	U+7270	牰
uni7271	U+7271	牱
uni7272	U+7272	牲
uni7273	U+7273	牳
uni7274	U+7274	牴
uni7275	U+7275	牵
uni7276	U+7276	牶
uni7277	U+7277	牷
uni7278	U+7278	牸
uni7279	U+7279	特
uni727A	U+727A	牺
uni727B	U+727B	牻
uni727C	U+727C	牼
uni727D	U+727D	牽
uni727E	U+727E	牾
uni727F	U+727F	牿
uni7280	U+7280	犀
uni7281	U+7281	犁
uni7282	U+7282	犂
uni7283	U+7283	犃
uni7284	U+7284	犄
uni7285	U+7285	犅
uni7286	U+7286	犆
uni7287	U+7287	犇
uni7288	U+7288	犈
uni7289	U+7289	犉
uni728A	U+728A	犊
uni728B	U+728B	犋
uni728C	U+728C	犌
uni728D	U+728D	犍
uni728E	U+728E	犎
uni728F	U+728F	犏
uni7290	U+7290	犐
uni7291	U+7291	犑
uni7292	U+7292	犒
uni7293	U+7293	犓
uni7294	U+7294	犔
uni7295	U+7295	犕
uni7296	U+7296	犖
uni7297	U+7297	犗
uni7298	U+7298	犘
uni7299	U+7299	犙
uni729A	U+729A	犚
uni729B	U+729B	犛
uni729C	U+729C	犜
uni729D	U+729D	犝
uni729E	U+729E	犞
uni729F	U+729F	犟
uni72A0	U+72A0	犠
uni72A1	U+72A1	犡
uni72A2	U+72A2	犢
uni72A3	U+72A3	犣
uni72A4	U+72A4	犤
uni72A5	U+72A5	犥
uni72A6	U+72A6	犦
uni72A7	U+72A7	犧
uni72A8	U+72A8	犨
uni72A9	U+72A9	犩
uni72AA	U+72AA	犪
uni72AB	U+72AB	犫
uni72AE	U+72AE	犮
uni72AF	U+72AF	犯
uni72B0	U+72B0	犰
uni72B1	U+72B1	犱
uni72B2	U+72B2	犲
uni72B3	U+72B3	犳
uni72B4	U+72B4	犴
uni72B5	U+72B5	犵
uni72B6	U+72B6	状
uni72B7	U+72B7	犷
uni72B8	U+72B8	犸
uni72B9	U+72B9	犹
uni72BA	U+72BA	犺
uni72BB	U+72BB	犻
uni72BC	U+72BC	犼
uni72BD	U+72BD	犽
uni72BE	U+72BE	犾
uni72BF	U+72BF	犿
uni72C0	U+72C0	狀
uni72C1	U+72C1	狁
uni72C2	U+72C2	狂
uni72C3	U+72C3	狃
uni72C4	U+72C4	狄
uni72C5	U+72C5	狅
uni72C6	U+72C6	狆
uni72C7	U+72C7	狇
uni72C8	U+72C8	狈
uni72C9	U+72C9	狉
uni72CA	U+72CA	狊
uni72CB	U+72CB	狋
uni72CC	U+72CC	狌
uni72CD	U+72CD	狍
uni72CE	U+72CE	狎
uni72CF	U+72CF	狏
uni72D0	U+72D0	狐
uni72D1	U+72D1	狑
uni72D2	U+72D2	狒
uni72D3	U+72D3	狓
uni72D4	U+72D4	狔
uni72D5	U+72D5	狕
uni72D6	U+72D6	狖
uni72D7	U+72D7	狗
uni72D8	U+72D8	狘
uni72D9	U+72D9	狙
uni72DA	U+72DA	狚
uni72DB	U+72DB	狛
uni72DC	U+72DC	狜
uni72DD	U+72DD	狝
uni72DE	U+72DE	狞
uni72DF	U+72DF	狟
uni72E0	U+72E0	狠
uni72E1	U+72E1	狡
uni72E2	U+72E2	狢
uni72E3	U+72E3	狣
uni72E4	U+72E4	狤
uni72E5	U+72E5	狥
uni72E6	U+72E6	狦
uni72E7	U+72E7	狧
uni72E8	U+72E8	狨
uni72E9	U+72E9	狩
uni72EA	U+72EA	狪
uni72EB	U+72EB	狫
uni72EC	U+72EC	独
uni72ED	U+72ED	狭
uni72EE	U+72EE	狮
uni72EF	U+72EF	狯
uni72F0	U+72F0	狰
uni72F1	U+72F1	狱
uni72F2	U+72F2	狲
uni72F3	U+72F3	狳
uni72F4	U+72F4	狴
uni72F5	U+72F5	狵
uni72F6	U+72F6	狶
uni72F7	U+72F7	狷
uni72F8	U+72F8	狸
uni72F9	U+72F9	狹
uni72FA	U+72FA	狺
uni72FB	U+72FB	狻
uni72FC	U+72FC	狼
uni72FD	U+72FD	狽
uni72FE	U+72FE	狾
uni72FF	U+72FF	狿
uni7300	U+7300	猀
uni7301	U+7301	猁
uni7302	U+7302	猂
uni7303	U+7303	猃
uni7304	U+7304	猄
uni7305	U+7305	猅
uni7306	U+7306	猆
uni7307	U+7307	猇
uni7308	U+7308	猈
uni7309	U+7309	猉
uni730A	U+730A	猊
uni730B	U+730B	猋
uni730C	U+730C	猌
uni730D	U+730D	猍
uni730E	U+730E	猎
uni730F	U+730F	猏
uni7310	U+7310	猐
uni7311	U+7311	猑
uni7312	U+7312	猒
uni7313	U+7313	猓
uni7314	U+7314	猔
uni7315	U+7315	猕
uni7316	U+7316	猖
uni7317	U+7317	猗
uni7318	U+7318	猘
uni7319	U+7319	猙
uni731A	U+731A	猚
uni731B	U+731B	猛
uni731C	U+731C	猜
uni731D	U+731D	猝
uni731E	U+731E	猞
uni731F	U+731F	猟
uni7320	U+7320	猠
uni7321	U+7321	猡
uni7322	U+7322	猢
uni7323	U+7323	猣
uni7324	U+7324	猤
uni7325	U+7325	猥
uni7326	U+7326	猦
uni7327	U+7327	猧
uni7328	U+7328	猨
uni7329	U+7329	猩
uni732A	U+732A	猪
uni732B	U+732B	猫
uni732C	U+732C	猬
uni732D	U+732D	猭
uni732E	U+732E	献
