uni4EF3	U+4EF3	仳
uni4FA3	U+4FA3	侣
uni4FA4	U+4FA4	侤
uni4FA5	U+4FA5	侥
uni4FA6	U+4FA6	侦
uni4FA7	U+4FA7	侧
uni4FA8	U+4FA8	侨
uni4FA9	U+4FA9	侩
uni4FAA	U+4FAA	侪
uni4FAB	U+4FAB	侫
uni4FAC	U+4FAC	侬
uni4FAD	U+4FAD	侭
uni4FAE	U+4FAE	侮
uni4FAF	U+4FAF	侯
uni4FB0	U+4FB0	侰
uni4FB1	U+4FB1	侱
uni4FB2	U+4FB2	侲
uni4FB3	U+4FB3	侳
uni4FB4	U+4FB4	侴
uni4FB5	U+4FB5	侵
uni4FB6	U+4FB6	侶
uni4FB7	U+4FB7	侷
uni4FB8	U+4FB8	侸
uni4FB9	U+4FB9	侹
uni4FBA	U+4FBA	侺
uni4FBB	U+4FBB	侻
uni4FBC	U+4FBC	侼
uni4FBD	U+4FBD	侽
uni4FBE	U+4FBE	侾
uni4FBF	U+4FBF	便
uni4FC0	U+4FC0	俀
uni4FC1	U+4FC1	俁
uni4FC2	U+4FC2	係
uni4FC3	U+4FC3	促
uni4FC4	U+4FC4	俄
uni4FC5	U+4FC5	俅
uni4FC6	U+4FC6	俆
uni4FC7	U+4FC7	俇
uni4FC8	U+4FC8	俈
uni4FC9	U+4FC9	俉
uni4FCA	U+4FCA	俊
uni4FCB	U+4FCB	俋
uni4FCC	U+4FCC	俌
uni4FCD	U+4FCD	俍
uni4FCE	U+4FCE	俎
uni4FCF	U+4FCF	俏
uni4FD0	U+4FD0	俐
uni4FD1	U+4FD1	俑
uni4FD2	U+4FD2	俒
uni4FD3	U+4FD3	俓
uni4FD4	U+4FD4	俔
uni4FD5	U+4FD5	俕
uni4FD6	U+4FD6	俖
uni4FD7	U+4FD7	俗
uni4FD8	U+4FD8	俘
uni4FD9	U+4FD9	俙
uni4FDA	U+4FDA	俚
uni4FDB	U+4FDB	俛
uni4FDC	U+4FDC	俜
uni4FDD	U+4FDD	保
uni4FDE	U+4FDE	俞
uni4FDF	U+4FDF	俟
uni4FE0	U+4FE0	俠
uni4FE1	U+4FE1	信
uni4FE2	U+4FE2	俢
uni4FE3	U+4FE3	俣
uni4FE4	U+4FE4	俤
uni4FE5	U+4FE5	俥
uni4FE6	U+4FE6	俦
uni4FE7	U+4FE7	俧
uni4FE8	U+4FE8	俨
uni4FE9	U+4FE9	俩
uni4FEA	U+4FEA	俪
uni4FEB	U+4FEB	俫
uni4FEC	U+4FEC	俬
uni4FED	U+4FED	俭
uni4FEE	U+4FEE	修
uni4FEF	U+4FEF	俯
uni4FF0	U+4FF0	俰
uni4FF1	U+4FF1	俱
uni4FF2	U+4FF2	俲
uni4FF3	U+4FF3	俳
uni4FF4	U+4FF4	俴
uni4FF5	U+4FF5	俵
uni4FF6	U+4FF6	俶
uni4FF7	U+4FF7	俷
uni4FF8	U+4FF8	俸
uni4FF9	U+4FF9	俹
uni4FFA	U+4FFA	俺
uni4FFB	U+4FFB	俻
uni4FFC	U+4FFC	俼
uni4FFD	U+4FFD	俽
uni4FFE	U+4FFE	俾
uni4FFF	U+4FFF	俿
uni5000	U+5000	倀
uni5001	U+5001	倁
uni5002	U+5002	倂
uni5003	U+5003	倃
uni5004	U+5004	倄
uni5005	U+5005	倅
uni5006	U+5006	倆
uni5007	U+5007	倇
uni5008	U+5008	倈
uni5009	U+5009	倉
uni500A	U+500A	倊
uni500B	U+500B	個
uni500C	U+500C	倌
uni500D	U+500D	倍
uni500E	U+500E	倎
uni500F	U+500F	倏
uni5010	U+5010	倐
uni5011	U+5011	們
uni5012	U+5012	倒
uni5013	U+5013	倓
uni5014	U+5014	倔
uni5015	U+5015	倕
uni5016	U+5016	倖
uni5017	U+5017	倗
uni5018	U+5018	倘
uni5019	U+5019	候
uni501A	U+501A	倚
uni501B	U+501B	倛
uni501C	U+501C	倜
uni501D	U+501D	倝
uni501E	U+501E	倞
uni501F	U+501F	借
uni5020	U+5020	倠
uni5021	U+5021	倡
uni5022	U+5022	倢
uni5023	U+5023	倣
uni5024	U+5024	値
uni5025	U+5025	倥
uni5026	U+5026	倦
uni5027	U+5027	倧
uni5028	U+5028	倨
uni5029	U+5029	倩
uni502A	U+502A	倪
uni502B	U+502B	倫
uni502C	U+502C	倬
uni502D	U+502D	倭
uni502E	U+502E	倮
uni502F	U+502F	倯
uni5030	U+5030	倰
uni5031	U+5031	倱
uni5032	U+5032	倲
uni5033	U+5033	倳
uni5034	U+5034	倴
uni5035	U+5035	倵
uni5036	U+5036	倶
uni5037	U+5037	倷
uni5038	U+5038	倸
uni5039	U+5039	倹
uni503A	U+503A	债
uni503B	U+503B	倻
uni503C	U+503C	值
uni503D	U+503D	倽
uni503E	U+503E	倾
uni503F	U+503F	倿
uni5040	U+5040	偀
uni5041	U+5041	偁
uni5042	U+5042	偂
uni5043	U+5043	偃
uni5044	U+5044	偄
uni5045	U+5045	偅
uni5046	U+5046	偆
uni5047	U+5047	假
uni5048	U+5048	偈
uni5049	U+5049	偉
uni504A	U+504A	偊
uni504B	U+504B	偋
uni504C	U+504C	偌
uni504D	U+504D	偍
uni504E	U+504E	偎
uni504F	U+504F	偏
uni5050	U+5050	偐
uni5051	U+5051	偑
uni5052	U+5052	偒
uni5053	U+5053	偓
uni5054	U+5054	偔
uni5055	U+5055	偕
uni5056	U+5056	偖
uni5057	U+5057	偗
uni5058	U+5058	偘
uni5059	U+5059	偙
uni505A	U+505A	做
uni505B	U+505B	偛
uni505C	U+505C	停
uni505D	U+505D	偝
uni505E	U+505E	偞
uni505F	U+505F	偟
uni5060	U+5060	偠
uni5061	U+5061	偡
uni5062	U+5062	偢
uni5063	U+5063	偣
uni5064	U+5064	偤
uni5065	U+5065	健
uni5066	U+5066	偦
uni5067	U+5067	偧
uni5068	U+5068	偨
uni5069	U+5069	偩
uni506A	U+506A	偪
uni506B	U+506B	偫
uni506C	U+506C	偬
uni506D	U+506D	偭
uni506E	U+506E	偮
uni506F	U+506F	偯
uni5070	U+5070	偰
uni5071	U+5071	偱
uni5072	U+5072	偲
uni5073	U+5073	偳
uni5074	U+5074	側
uni5075	U+5075	偵
uni5076	U+5076	偶
uni5077	U+5077	偷
uni5078	U+5078	偸
uni5079	U+5079	偹
uni507A	U+507A	偺
uni507B	U+507B	偻
uni507C	U+507C	偼
uni507D	U+507D	偽
uni507E	U+507E	偾
uni507F	U+507F	偿
uni5080	U+5080	傀
uni5081	U+5081	傁
uni5082	U+5082	傂
uni5083	U+5083	傃
uni5084	U+5084	傄
uni5085	U+5085	傅
uni5086	U+5086	傆
uni5087	U+5087	傇
uni5088	U+5088	傈
uni5089	U+5089	傉
uni508A	U+508A	傊
uni508B	U+508B	傋
uni508C	U+508C	傌
uni508D	U+508D	傍
uni508E	U+508E	傎
uni508F	U+508F	傏
uni5090	U+5090	傐
uni5091	U+5091	傑
uni5092	U+5092	傒
uni5093	U+5093	傓
uni5094	U+5094	傔
uni5095	U+5095	傕
uni5096	U+5096	傖
uni5097	U+5097	傗
uni5098	U+5098	傘
uni5099	U+5099	備
uni509A	U+509A	傚
uni509B	U+509B	傛
uni509C	U+509C	傜
uni509D	U+509D	傝
uni509E	U+509E	傞
uni509F	U+509F	傟
uni50A0	U+50A0	傠
uni50A1	U+50A1	傡
uni50A2	U+50A2	傢
uni50A3	U+50A3	傣
uni50A4	U+50A4	傤
uni50A5	U+50A5	傥
uni50A6	U+50A6	傦
uni50A7	U+50A7	傧
uni50A8	U+50A8	储
uni50A9	U+50A9	傩
uni50AA	U+50AA	傪
uni50AB	U+50AB	傫
uni50AC	U+50AC	催
uni50AD	U+50AD	傭
uni50AE	U+50AE	傮
uni50AF	U+50AF	傯
uni50B0	U+50B0	傰
uni50B1	U+50B1	傱
uni50B2	U+50B2	傲
uni50B3	U+50B3	傳
uni50B4	U+50B4	傴
uni50B5	U+50B5	債
uni50B6	U+50B6	傶
uni50B7	U+50B7	傷
uni50B8	U+50B8	傸
uni50B9	U+50B9	傹
uni50BA	U+50BA	傺
uni50BB	U+50BB	傻
uni50BC	U+50BC	傼
uni50BD	U+50BD	傽
uni50BE	U+50BE	傾
uni50BF	U+50BF	傿
uni50C0	U+50C0	僀
uni50C1	U+50C1	僁
uni50C2	U+50C2	僂
uni50C3	U+50C3	僃
uni50C4	U+50C4	僄
uni50C5	U+50C5	僅
uni50C6	U+50C6	僆
uni50C7	U+50C7	僇
uni50C8	U+50C8	僈
uni50C9	U+50C9	僉
uni50CA	U+50CA	僊
uni50CB	U+50CB	僋
uni50CC	U+50CC	僌
uni50CD	U+50CD	働
uni50CE	U+50CE	僎
uni50CF	U+50CF	像
uni50D0	U+50D0	僐
uni50D1	U+50D1	僑
uni50D2	U+50D2	僒
uni50D3	U+50D3	僓
uni50D4	U+50D4	僔
uni50D5	U+50D5	僕
uni50D6	U+50D6	僖
uni50D7	U+50D7	僗
uni50D8	U+50D8	僘
uni50D9	U+50D9	僙
uni50DA	U+50DA	僚
uni50DB	U+50DB	僛
uni50DC	U+50DC	僜
uni50DD	U+50DD	僝
uni50DE	U+50DE	僞
uni50DF	U+50DF	僟
uni50E0	U+50E0	僠
uni50E1	U+50E1	僡
uni50E2	U+50E2	僢
uni50E3	U+50E3	僣
uni50E4	U+50E4	僤
uni50E5	U+50E5	僥
uni50E6	U+50E6	僦
uni50E7	U+50E7	僧
uni50E8	U+50E8	僨
uni50E9	U+50E9	僩
uni50EA	U+50EA	僪
uni50EB	U+50EB	僫
uni50EC	U+50EC	僬
uni50ED	U+50ED	僭
uni50EE	U+50EE	僮
uni50EF	U+50EF	僯
uni50F0	U+50F0	僰
uni50F1	U+50F1	僱
uni50F2	U+50F2	僲
uni50F3	U+50F3	僳
uni50F4	U+50F4	僴
uni50F5	U+50F5	僵
uni50F6	U+50F6	僶
uni50F7	U+50F7	僷
uni50F8	U+50F8	僸
uni50F9	U+50F9	價
uni50FA	U+50FA	僺
uni50FB	U+50FB	僻
uni50FC	U+50FC	僼
uni50FD	U+50FD	僽
uni50FE	U+50FE	僾
uni50FF	U+50FF	僿
uni5100	U+5100	儀
uni5101	U+5101	儁
uni5102	U+5102	儂
uni5103	U+5103	儃
uni5104	U+5104	億
uni5105	U+5105	儅
uni5106	U+5106	儆
uni5107	U+5107	儇
uni5108	U+5108	儈
uni5109	U+5109	儉
uni510A	U+510A	儊
uni510B	U+510B	儋
uni510C	U+510C	儌
uni510D	U+510D	儍
uni510E	U+510E	儎
uni510F	U+510F	儏
uni5110	U+5110	儐
uni5111	U+5111	儑
uni5112	U+5112	儒
uni5113	U+5113	儓
uni5114	U+5114	儔
uni5115	U+5115	儕
uni5116	U+5116	儖
uni5117	U+5117	儗
uni5118	U+5118	儘
uni5119	U+5119	儙
uni511A	U+511A	儚
uni511B	U+511B	儛
uni511C	U+511C	儜
uni511D	U+511D	儝
uni511E	U+511E	儞
uni511F	U+511F	償
uni5120	U+5120	儠
uni5121	U+5121	儡
uni5122	U+5122	儢
uni5123	U+5123	儣
uni5124	U+5124	儤
uni5125	U+5125	儥
uni5126	U+5126	儦
uni5127	U+5127	儧
uni5128	U+5128	儨
uni5129	U+5129	儩
uni512A	U+512A	優
uni512B	U+512B	儫
uni512C	U+512C	儬
uni512D	U+512D	儭
uni512E	U+512E	儮
uni512F	U+512F	儯
uni5130	U+5130	儰
uni5131	U+5131	儱
uni5132	U+5132	儲
uni5133	U+5133	儳
uni5134	U+5134	儴
uni5135	U+5135	儵
uni5136	U+5136	儶
uni5137	U+5137	儷
uni5138	U+5138	儸
uni5139	U+5139	儹
uni513A	U+513A	儺
uni513B	U+513B	儻
uni513C	U+513C	儼
uni513D	U+513D	儽
uni513E	U+513E	儾
uni5141	U+5141	允
uni5142	U+5142	兂
uni5143	U+5143	元
uni5144	U+5144	兄
uni5145	U+5145	充
uni5146	U+5146	兆
uni5147	U+5147	兇
uni5148	U+5148	先
uni5149	U+5149	光
uni514A	U+514A	兊
uni514B	U+514B	克
uni514C	U+514C	兌
uni514D	U+514D	免
uni514E	U+514E	兎
uni514F	U+514F	兏
uni5150	U+5150	児
uni5151	U+5151	兑
uni5152	U+5152	兒
uni5153	U+5153	兓
uni5154	U+5154	兔
uni5155	U+5155	兕
uni5156	U+5156	兖
uni5157	U+5157	兗
uni5158	U+5158	兘
uni5159	U+5159	兙
uni515A	U+515A	党
uni515B	U+515B	兛
uni515C	U+515C	兜
uni515D	U+515D	兝
uni515E	U+515E	兞
uni515F	U+515F	兟
uni5160	U+5160	兠
uni5161	U+5161	兡
uni5162	U+5162	兢
uni5163	U+5163	兣
uni5164	U+5164	兤
uni5166	U+5166	兦
uni5167	U+5167	內
uni5168	U+5168	全
uni5169	U+5169	兩
uni516A	U+516A	兪
uni516C	U+516C	公
uni516D	U+516D	六
uni516E	U+516E	兮
uni516F	U+516F	兯
uni5170	U+5170	兰
uni5171	U+5171	共
uni5172	U+5172	兲
uni5173	U+5173	关
uni5174	U+5174	兴
uni5175	U+5175	兵
uni5176	U+5176	其
uni5177	U+5177	具
uni5178	U+5178	典
uni5179	U+5179	兹
uni517A	U+517A	兺
uni517B	U+517B	养
uni517C	U+517C	兼
uni517D	U+517D	兽
uni517E	U+517E	兾
uni517F	U+517F	兿
uni5180	U+5180	冀
uni5181	U+5181	冁
uni5183	U+5183	冃
uni5184	U+5184	冄
uni5185	U+5185	内
uni5186	U+5186	円
uni5187	U+5187	冇
uni5188	U+5188	冈
uni5189	U+5189	冉
uni518A	U+518A	冊
uni518B	U+518B	冋
uni518C	U+518C	册
uni518D	U+518D	再
uni518E	U+518E	冎
uni518F	U+518F	冏
uni5190	U+5190	冐
uni5191	U+5191	冑
uni5192	U+5192	冒
uni5193	U+5193	冓
uni5194	U+5194	冔
uni5195	U+5195	冕
uni5197	U+5197	冗
uni5198	U+5198	冘
uni5199	U+5199	写
uni519A	U+519A	冚
uni519B	U+519B	军
uni519C	U+519C	农
uni519D	U+519D	冝
uni519E	U+519E	冞
uni519F	U+519F	冟
uni51A0	U+51A0	冠
uni51A1	U+51A1	冡
uni51A2	U+51A2	冢
uni51A3	U+51A3	冣
uni51A4	U+51A4	冤
uni51A5	U+51A5	冥
uni51A6	U+51A6	冦
uni51A7	U+51A7	冧
uni51A8	U+51A8	冨
uni51A9	U+51A9	冩
uni51AA	U+51AA	冪
uni51AC	U+51AC	冬
uni51AD	U+51AD	冭
uni51AE	U+51AE	冮
uni51AF	U+51AF	冯
uni51B0	U+51B0	冰
uni51B1	U+51B1	冱
uni51B2	U+51B2	冲
uni51B3	U+51B3	决
uni51B4	U+51B4	冴
uni51B5	U+51B5	况
uni51B6	U+51B6	冶
uni51B7	U+51B7	冷
uni51B8	U+51B8	冸
uni51B9	U+51B9	冹
uni51BA	U+51BA	冺
uni51BB	U+51BB	冻
uni51BC	U+51BC	冼
uni51BD	U+51BD	冽
uni51BE	U+51BE	冾
uni51BF	U+51BF	冿
uni51C0	U+51C0	净
uni51C1	U+51C1	凁
uni51C2	U+51C2	凂
uni51C3	U+51C3	凃
uni51C4	U+51C4	凄
uni51C5	U+51C5	凅
uni51C6	U+51C6	准
uni51C7	U+51C7	凇
uni51C8	U+51C8	凈
uni51C9	U+51C9	凉
uni51CA	U+51CA	凊
uni51CB	U+51CB	凋
uni51CC	U+51CC	凌
uni51CD	U+51CD	凍
uni51CE	U+51CE	凎
uni51CF	U+51CF	减
uni51D0	U+51D0	凐
uni51D1	U+51D1	凑
uni51D2	U+51D2	凒
uni51D3	U+51D3	凓
uni51D4	U+51D4	凔
uni51D5	U+51D5	凕
uni51D6	U+51D6	凖
uni51D7	U+51D7	凗
uni51D8	U+51D8	凘
uni51D9	U+51D9	凙
uni51DA	U+51DA	凚
uni51DB	U+51DB	凛
uni51DC	U+51DC	凜
uni51DD	U+51DD	凝
uni51DE	U+51DE	凞
uni51DF	U+51DF	凟
uni51E1	U+51E1	凡
uni51E2	U+51E2	凢
uni51E3	U+51E3	凣
uni51E4	U+51E4	凤
uni51E5	U+51E5	凥
uni51E6	U+51E6	処
uni51E7	U+51E7	凧
uni51E8	U+51E8	凨
uni51E9	U+51E9	凩
uni51EA	U+51EA	凪
uni51EB	U+51EB	凫
uni51EC	U+51EC	凬
uni51ED	U+51ED	凭
uni51EE	U+51EE	凮
uni51EF	U+51EF	凯
uni51F0	U+51F0	凰
uni51F1	U+51F1	凱
uni51F2	U+51F2	凲
uni51F3	U+51F3	凳
uni51F4	U+51F4	凴
uni51F6	U+51F6	凶
uni51F7	U+51F7	凷
uni51F8	U+51F8	凸
uni51F9	U+51F9	凹
uni51FA	U+51FA	出
uni51FB	U+51FB	击
uni51FC	U+51FC	凼
uni51FD	U+51FD	函
uni51FE	U+51FE	凾
uni51FF	U+51FF	凿
uni5201	U+5201	刁
uni5203	U+5203	刃
uni5204	U+5204	刄
uni5205	U+5205	刅
uni5206	U+5206	分
uni5207	U+5207	切
uni5208	U+5208	刈
uni5209	U+5209	刉
uni520A	U+520A	刊
uni520B	U+520B	刋
uni520C	U+520C	刌
uni520D	U+520D	刍
uni520E	U+520E	刎
uni520F	U+520F	刏
uni5210	U+5210	刐
uni5211	U+5211	刑
uni5212	U+5212	划
uni5213	U+5213	刓
uni5214	U+5214	刔
uni5215	U+5215	刕
uni5216	U+5216	刖
uni5217	U+5217	列
uni5218	U+5218	刘
uni5219	U+5219	则
uni521A	U+521A	刚
uni521B	U+521B	创
uni521C	U+521C	刜
uni521D	U+521D	初
uni521E	U+521E	刞
uni521F	U+521F	刟
uni5220	U+5220	删
uni5221	U+5221	刡
uni5222	U+5222	刢
uni5223	U+5223	刣
uni5224	U+5224	判
uni5225	U+5225	別
uni5226	U+5226	刦
uni5227	U+5227	刧
uni5228	U+5228	刨
uni5229	U+5229	利
uni522A	U+522A	刪
uni522B	U+522B	别
uni522C	U+522C	刬
uni522D	U+522D	刭
uni522E	U+522E	刮
uni522F	U+522F	刯
uni5230	U+5230	到
uni5231	U+5231	刱
uni5232	U+5232	刲
uni5233	U+5233	刳
uni5234	U+5234	刴
uni5235	U+5235	刵
uni5236	U+5236	制
uni5237	U+5237	刷
uni5238	U+5238	券
uni5239	U+5239	刹
uni523A	U+523A	刺
uni523B	U+523B	刻
uni523C	U+523C	刼
uni523D	U+523D	刽
uni523E	U+523E	刾
uni523F	U+523F	刿
uni5240	U+5240	剀
uni5241	U+5241	剁
uni5242	U+5242	剂
uni5243	U+5243	剃
uni5244	U+5244	剄
uni5245	U+5245	剅
uni5246	U+5246	剆
uni5247	U+5247	則
uni5248	U+5248	剈
uni5249	U+5249	剉
uni524A	U+524A	削
uni524B	U+524B	剋
uni524C	U+524C	剌
uni524D	U+524D	前
uni524E	U+524E	剎
uni524F	U+524F	剏
uni5250	U+5250	剐
uni5251	U+5251	剑
uni5252	U+5252	剒
uni5253	U+5253	剓
uni5254	U+5254	剔
uni5255	U+5255	剕
uni5256	U+5256	剖
uni5257	U+5257	剗
uni5258	U+5258	剘
uni5259	U+5259	剙
uni525A	U+525A	剚
uni525B	U+525B	剛
uni525C	U+525C	剜
uni525D	U+525D	剝
uni525E	U+525E	剞
uni525F	U+525F	剟
uni5260	U+5260	剠
uni5261	U+5261	剡
uni5262	U+5262	剢
uni5263	U+5263	剣
uni5264	U+5264	剤
uni5265	U+5265	剥
uni5266	U+5266	剦
uni5267	U+5267	剧
uni5268	U+5268	剨
uni5269	U+5269	剩
uni526A	U+526A	剪
uni526B	U+526B	剫
uni526C	U+526C	剬
uni526D	U+526D	剭
uni526E	U+526E	剮
uni526F	U+526F	副
uni5270	U+5270	剰
uni5271	U+5271	剱
uni5272	U+5272	割
uni5273	U+5273	剳
uni5274	U+5274	剴
uni5275	U+5275	創
uni5276	U+5276	剶
uni5277	U+5277	剷
uni5278	U+5278	剸
uni5279	U+5279	剹
uni527A	U+527A	剺
uni527B	U+527B	剻
uni527C	U+527C	剼
uni527D	U+527D	剽
uni527E	U+527E	剾
uni527F	U+527F	剿
uni5280	U+5280	劀
uni5281	U+5281	劁
uni5282	U+5282	劂
uni5283	U+5283	劃
uni5284	U+5284	劄
uni5285	U+5285	劅
uni5286	U+5286	劆
uni5287	U+5287	劇
uni5288	U+5288	劈
uni5289	U+5289	劉
uni528A	U+528A	劊
uni528B	U+528B	劋
uni528C	U+528C	劌
uni528D	U+528D	劍
uni528E	U+528E	劎
uni528F	U+528F	劏
uni5290	U+5290	劐
uni5291	U+5291	劑
uni5292	U+5292	劒
uni5293	U+5293	劓
uni5294	U+5294	劔
uni5295	U+5295	劕
uni5296	U+5296	劖
uni5297	U+5297	劗
uni5298	U+5298	劘
uni5299	U+5299	劙
uni529A	U+529A	劚
uni529C	U+529C	劜
uni529D	U+529D	劝
uni529E	U+529E	办
uni529F	U+529F	功
uni52A0	U+52A0	加
uni52A1	U+52A1	务
uni52A2	U+52A2	劢
uni52A3	U+52A3	劣
uni52A4	U+52A4	劤
uni52A5	U+52A5	劥
uni52A6	U+52A6	劦
uni52A7	U+52A7	劧
uni52A8	U+52A8	动
uni52A9	U+52A9	助
uni52AA	U+52AA	努
uni52AB	U+52AB	劫
uni52AC	U+52AC	劬
uni52AD	U+52AD	劭
uni52AE	U+52AE	劮
uni52AF	U+52AF	劯
uni52B0	U+52B0	劰
uni52B1	U+52B1	励
uni52B2	U+52B2	劲
uni52B3	U+52B3	劳
uni52B4	U+52B4	労
uni52B5	U+52B5	劵
uni52B6	U+52B6	劶
uni52B7	U+52B7	劷
uni52B8	U+52B8	劸
uni52B9	U+52B9	効
uni52BA	U+52BA	劺
uni52BB	U+52BB	劻
uni52BC	U+52BC	劼
uni52BD	U+52BD	劽
uni52BE	U+52BE	劾
uni52BF	U+52BF	势
uni52C0	U+52C0	勀
uni52C1	U+52C1	勁
uni52C2	U+52C2	勂
uni52C3	U+52C3	勃
uni52C4	U+52C4	勄
uni52C5	U+52C5	勅
uni52C6	U+52C6	勆
uni52C7	U+52C7	勇
uni52C8	U+52C8	勈
uni52C9	U+52C9	勉
uni52CA	U+52CA	勊
uni52CB	U+52CB	勋
uni52CC	U+52CC	勌
uni52CD	U+52CD	勍
uni52CE	U+52CE	勎
uni52CF	U+52CF	勏
uni52D0	U+52D0	勐
uni52D1	U+52D1	勑
uni52D2	U+52D2	勒
